PRCP       029004 18861201 20180131 missing_value=99999.9 BURKETOWN POST OFFICE                     
19720501 19720531     0.0
19720601 19720630     0.8
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    20.1
19721201 19721231    42.7
19730101 19730131   345.5
19730201 19730228   210.5
19730301 19730331   487.4
19730401 19730430     2.6
19730501 19730531     0.0
19730601 19730630     6.6
19730701 19730731     0.0
19730801 19730831     0.0
19730901 19730930    25.0
19731001 19731031     5.6
19731101 19731130   235.0
19731201 19731231   225.6
19740101 19740131   508.9
19740201 19740228   499.5
19740301 19740331   351.3
19740401 19740430     0.0
19740501 19740531     0.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     5.2
19740901 19740930     0.0
19741001 19741031     7.8
19741101 19741130    56.8
19741201 19741231   167.2
19750101 19750131   185.8
19750201 19750228   288.4
19750301 19750331   250.4
19750401 19750430    24.0
19750501 19750531     0.0
19750601 19750630     0.0
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930     1.8
19751001 19751031    72.8
19751101 19751130    10.8
19751201 19751231   171.0
19760101 19760131   601.2
19760201 19760229   365.4
19760301 19760331    41.5
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831    21.3
19760901 19760930     0.0
19761001 19761031     0.0
19761101 19761130   147.6
19761201 19761231   265.3
19770101 19770131   317.2
19770201 19770228   346.0
19770301 19770331   258.9
19770401 19770430    10.0
19770501 19770531     0.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031    25.6
19771101 19771130    58.2
19771201 19771231   136.0
19780101 19780131    48.0
19780201 19780228    62.2
19780301 19780331    54.2
19780401 19780430     0.0
19780501 19780531     0.0
19780601 19780630     4.3
19780701 19780731    11.1
19780801 19780831     0.0
19780901 19780930    52.6
19781001 19781031    89.3
19781101 19781130    38.1
19781201 19781231   112.3
19790101 19790131   330.2
19790201 19790228   332.9
19790301 19790331    54.2
19790401 19790430     0.0
19790501 19790531     0.0
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031    63.3
19791101 19791130    11.7
19791201 19791231    71.7
19800101 19800131   120.3
19800201 19800229   182.0
19800301 19800331    21.0
19800401 19800430     3.7
19800501 19800531    17.1
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     0.0
19801101 19801130     8.4
19801201 19801231    54.7
19810101 19810131   453.1
19810201 19810228   126.3
19810301 19810331     5.8
19810401 19810430    47.1
19810501 19810531    25.3
19810601 19810630    16.8
19810701 19810731     0.0
19810801 19810831     1.1
19810901 19810930     4.4
19811001 19811031    17.8
19811101 19811130    52.5
19811201 19811231    72.4
