PRCP       085096 18721201 20180131 missing_value=99999.9 WILSONS PROMONTORY LIGHTHOUSE             
19410501 19410531    60.3
19410601 19410630   125.6
19410701 19410731    72.7
19410801 19410831   116.6
19410901 19410930   130.8
19411001 19411031    89.8
19411101 19411130    41.2
19411201 19411231    33.3
19420101 19420131    39.9
19420201 19420228    26.5
19420301 19420331    65.8
19420401 19420430    67.5
19420501 19420531   170.4
19420601 19420630   118.6
19420701 19420731   110.4
19420801 19420831   203.3
19420901 19420930   118.7
19421001 19421031    65.7
19421101 19421130    54.3
19421201 19421231    42.3
19430101 19430131    80.8
19430201 19430228    48.3
19430301 19430331    41.7
19430401 19430430   220.5
19430501 19430531    77.7
19430601 19430630   104.7
19430701 19430731   179.2
19430801 19430831   108.0
19430901 19430930    79.7
19431001 19431031    54.2
19431101 19431130    45.3
19431201 19431231    22.0
19440101 19440131    49.3
19440201 19440229    29.7
19440301 19440331    43.7
19440401 19440430   155.7
19440501 19440531   154.8
19440601 19440630   115.8
19440701 19440731    98.0
19440801 19440831    59.4
19440901 19440930    71.2
19441001 19441031    75.0
19441101 19441130    83.7
19441201 19441231   125.3
19450101 19450131    32.9
19450201 19450228    48.1
19450301 19450331    35.4
19450401 19450430    42.6
19450501 19450531    73.7
19450601 19450630    72.2
19450701 19450731    74.9
19450801 19450831   136.0
19450901 19450930   108.5
19451001 19451031   123.3
19451101 19451130    66.7
19451201 19451231    13.9
19460101 19460131   104.8
19460201 19460228   132.4
19460301 19460331   146.0
19460401 19460430    84.0
19460501 19460531    54.7
19460601 19460630   137.2
19460701 19460731   239.9
19460801 19460831   195.0
19460901 19460930    76.7
19461001 19461031    72.5
19461101 19461130    51.5
19461201 19461231    48.6
19470101 19470131    50.0
19470201 19470228    21.1
19470301 19470331    78.9
19470401 19470430    80.9
19470501 19470531    46.7
19470601 19470630   134.7
19470701 19470731   174.9
19470801 19470831   140.7
19470901 19470930   108.0
19471001 19471031   200.5
19471101 19471130   122.6
19471201 19471231   140.3
19480101 19480131    12.7
19480201 19480229    41.4
19480301 19480331    92.4
19480401 19480430    54.8
19480501 19480531   211.2
19480601 19480630    80.9
19480701 19480731   102.2
19480801 19480831    81.2
19480901 19480930    82.6
19481001 19481031   206.3
19481101 19481130    71.6
19481201 19481231    42.4
19490101 19490131    56.2
19490201 19490228    87.0
19490301 19490331   149.3
19490401 19490430    37.1
