PRCP       038002 18980101 20171130 missing_value=99999.9 BIRDSVILLE POLICE STATION                 
19760601 19760630     0.0
19760701 19760731    10.3
19760801 19760831     0.2
19760901 19760930     0.2
19761001 19761031    65.9
19761101 19761130     6.8
19761201 19761231     1.4
19770101 19770131    34.8
19770201 19770228    64.8
19770301 19770331    72.2
19770401 19770430     2.6
19770501 19770531    16.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     5.2
19771001 19771031     0.4
19771101 19771130    20.2
19771201 19771231    26.4
19780101 19780131    38.0
19780201 19780228     0.8
19780301 19780331     1.2
19780401 19780430     0.0
19780501 19780531    20.2
19780601 19780630    14.8
19780701 19780731    46.6
19780801 19780831     7.4
19780901 19780930     2.6
19781001 19781031    18.6
19781101 19781130     3.4
19781201 19781231     0.6
19790101 19790131   148.9
19790201 19790228    34.0
19790301 19790331     8.0
19790401 19790430     6.2
19790501 19790531    33.8
19790601 19790630     0.4
19790701 19790731     0.0
19790801 19790831     4.2
19790901 19790930    24.4
19791001 19791031     0.0
19791101 19791130     9.8
19791201 19791231     2.3
19800101 19800131    72.0
19800201 19800229    15.0
19800301 19800331     1.2
19800401 19800430    38.8
19800501 19800531     0.0
19800601 19800630     0.0
19800701 19800731     9.4
19800801 19800831     7.8
19800901 19800930     0.0
19801001 19801031     1.2
19801101 19801130     2.4
19801201 19801231     4.1
19810101 19810131    50.1
19810201 19810228     7.6
19810301 19810331     7.2
19810401 19810430     0.0
19810501 19810531    99.2
19810601 19810630    10.4
19810701 19810731    41.0
19810801 19810831     0.0
19810901 19810930     2.0
19811001 19811031     6.6
19811101 19811130    15.4
19811201 19811231    17.7
19820101 19820131    17.0
19820201 19820228     6.0
19820301 19820331     6.0
19820401 19820430     0.0
19820501 19820531     1.6
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.8
19820901 19820930     0.7
19821001 19821031     0.0
19821101 19821130     2.0
19821201 19821231     2.8
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331    65.2
19830401 19830430    22.0
19830501 19830531    10.6
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     7.0
19830901 19830930     3.0
19831001 19831031    61.7
19831101 19831130     3.6
19831201 19831231     5.6
19840101 19840131   158.9
19840201 19840229     0.8
19840301 19840331    11.2
19840401 19840430     2.0
19840501 19840531     1.0
19840601 19840630     1.4
19840701 19840731    31.5
19840801 19840831     0.0
19840901 19840930    11.2
19841001 19841031    10.8
19841101 19841130     0.6
19841201 19841231     5.2
19850101 19850131     0.0
19850201 19850228    19.8
19850301 19850331     5.8
19850401 19850430     0.0
19850501 19850531     5.6
19850601 19850630    15.8
19850701 19850731     0.8
19850801 19850831     2.8
19850901 19850930     0.2
19851001 19851031    15.6
19851101 19851130    42.8
19851201 19851231     8.4
19860101 19860131     1.2
19860201 19860228     0.0
19860301 19860331     0.0
19860401 19860430     0.0
19860501 19860531     0.0
19860601 19860630     4.8
19860701 19860731   107.8
19860801 19860831     0.2
19860901 19860930     1.2
19861001 19861031    46.8
19861101 19861130    15.2
19861201 19861231     8.4
19870101 19870131    33.2
19870201 19870228    75.0
19870301 19870331     2.6
19870401 19870430     2.2
19870501 19870531     7.2
19870601 19870630    35.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     5.0
19871001 19871031     2.0
19871101 19871130     6.2
19871201 19871231   101.5
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331   133.2
19880401 19880430     4.5
19880501 19880531     8.8
19880601 19880630     0.2
19880701 19880731    22.1
19880801 19880831    36.9
19880901 19880930     0.6
19881001 19881031     1.6
19881101 19881130     1.4
19881201 19881231    39.6
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331    18.0
19890401 19890430    25.9
19890501 19890531    13.1
19890601 19890630     8.6
19890701 19890731     0.6
19890801 19890831     0.0
19890901 19890930     0.2
19891001 19891031    14.0
19891101 19891130   133.2
19891201 19891231     1.8
19900101 19900131    32.4
19900201 19900228     0.0
19900301 19900331     0.0
19900401 19900430    60.9
19900501 19900531    61.9
19900601 19900630     0.4
19900701 19900731    15.2
19900801 19900831     3.8
19900901 19900930     0.4
19901001 19901031     4.6
19901101 19901130     0.0
19901201 19901231     1.2
19910101 19910131    53.6
19910201 19910228   114.9
19910301 19910331     0.0
19910401 19910430     0.0
19910501 19910531     0.0
19910601 19910630    10.6
19910701 19910731     4.8
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130    21.3
19911201 19911231    10.6
19920101 19920131     0.2
19920201 19920229   126.0
19920301 19920331     0.0
19920401 19920430     1.0
19920501 19920531    17.1
19920601 19920630     1.8
19920701 19920731     1.4
19920801 19920831     8.2
19920901 19920930     2.4
19921001 19921031    21.0
19921101 19921130    32.2
19921201 19921231    28.2
