PRCP       018045 18770101 20170930 missing_value=99999.9 LAKE HAMILTON                             
19680401 19680430    56.1
19680501 19680531    93.9
19680601 19680630    59.3
19680701 19680731   147.6
19680801 19680831    78.3
19680901 19680930    41.3
19681001 19681031    53.5
19681101 19681130    25.9
19681201 19681231    30.5
19690101 19690131    12.2
19690201 19690228    30.8
19690301 19690331    16.8
19690401 19690430    35.4
19690501 19690531    75.1
19690601 19690630    74.7
19690701 19690731    70.3
19690801 19690831    27.8
19690901 19690930    66.1
19691001 19691031     2.1
19691101 19691130    20.3
19691201 19691231     5.3
19700101 19700131    17.6
19700201 19700228     0.5
19700301 19700331     4.3
19700401 19700430    30.8
19700501 19700531    58.4
19700601 19700630    63.8
19700701 19700731    57.6
19700801 19700831   110.1
19700901 19700930    55.6
19701001 19701031     4.9
19701101 19701130    15.9
19701201 19701231     9.2
19710101 19710131     2.5
19710201 19710228     4.3
19710301 19710331    55.2
19710401 19710430   100.4
19710501 19710531   109.5
19710601 19710630    51.6
19710701 19710731    55.4
19710801 19710831   120.8
19710901 19710930    67.6
19711001 19711031    20.3
19711101 19711130    36.7
19711201 19711231    54.5
19720101 19720131    19.8
19720201 19720229    17.0
19720301 19720331     1.5
