PRCP       009520 18970101 20171231 missing_value=99999.9 CAPE RICHE                                
19670201 19670228    23.2
19670301 19670331    88.6
19670401 19670430    30.7
19670501 19670531    93.3
19670601 19670630    60.6
19670701 19670731   129.0
19670801 19670831   100.3
19670901 19670930    60.3
19671001 19671031    42.5
19671101 19671130    10.9
19671201 19671231    16.1
19680101 19680131    73.4
19680201 19680229    22.4
19680301 19680331    58.4
19680401 19680430    47.1
19680501 19680531    60.6
19680601 19680630    79.3
19680701 19680731    56.4
19680801 19680831    88.3
19680901 19680930   107.1
19681001 19681031    47.3
19681101 19681130    13.5
19681201 19681231    24.0
19690101 19690131     3.4
19690201 19690228     2.5
19690301 19690331    13.5
19690401 19690430    30.4
19690501 19690531    36.8
19690601 19690630    41.3
19690701 19690731    90.4
19690801 19690831    67.3
19690901 19690930    53.6
19691001 19691031    20.6
19691101 19691130    29.8
19691201 19691231    14.5
19700101 19700131     3.8
19700201 19700228    26.3
19700301 19700331    11.9
19700401 19700430    77.8
19700501 19700531    29.9
19700601 19700630    55.2
19700701 19700731    47.4
19700801 19700831    58.3
19700901 19700930    78.3
19701001 19701031    29.1
19701101 19701130    42.6
19701201 19701231    25.2
19710101 19710131    59.5
19710201 19710228    13.5
19710301 19710331    66.0
19710401 19710430    53.2
19710501 19710531   104.1
19710601 19710630    12.2
19710701 19710731    39.7
19710801 19710831    85.5
19710901 19710930    52.1
19711001 19711031    75.1
19711101 19711130   198.0
19711201 19711231    41.6
19720101 19720131    14.5
19720201 19720229     6.1
19720301 19720331    28.5
19720401 19720430    38.9
19720501 19720531    46.4
19720601 19720630    90.5
19720701 19720731    92.8
19720801 19720831    70.1
19720901 19720930    31.3
19721001 19721031    67.9
19721101 19721130     2.8
19721201 19721231     8.1
19730101 19730131    16.8
19730201 19730228    12.5
19730301 19730331     8.2
19730401 19730430    48.8
19730501 19730531    23.7
19730601 19730630    54.3
19730701 19730731    40.8
19730801 19730831   108.3
19730901 19730930    70.9
19731001 19731031    78.4
19731101 19731130    33.9
19731201 19731231    28.6
19740101 19740131     8.8
19740201 19740228    19.6
19740301 19740331    12.4
19740401 19740430   113.8
19740501 19740531    70.4
19740601 19740630    54.2
19740701 19740731    64.0
19740801 19740831    33.5
19740901 19740930    48.8
19741001 19741031    45.2
19741101 19741130    69.8
19741201 19741231     2.4
19750101 19750131     7.2
19750201 19750228     3.2
19750301 19750331     9.2
19750401 19750430   123.5
19750501 19750531    80.2
19750601 19750630    11.4
19750701 19750731    83.0
19750801 19750831   121.0
19750901 19750930    57.9
19751001 19751031    72.7
19751101 19751130    35.4
19751201 19751231     3.8
19760101 19760131    84.6
19760201 19760229    37.0
19760301 19760331    17.6
19760401 19760430    54.0
19760501 19760531    67.8
19760601 19760630    76.8
19760701 19760731    87.4
19760801 19760831    91.0
19760901 19760930    68.4
19761001 19761031   120.1
19761101 19761130    71.9
19761201 19761231     1.2
19770101 19770131     6.0
19770201 19770228    23.4
19770301 19770331    14.6
19770401 19770430    14.0
19770501 19770531   111.8
19770601 19770630    26.8
19770701 19770731    31.6
19770801 19770831    64.8
19770901 19770930    82.4
19771001 19771031   127.8
19771101 19771130    15.0
19771201 19771231    47.4
19780101 19780131    18.6
19780201 19780228    53.8
19780301 19780331     0.0
19780401 19780430    47.8
19780501 19780531    65.8
19780601 19780630   195.2
19780701 19780731   201.8
19780801 19780831    71.0
19780901 19780930    97.2
19781001 19781031    46.8
19781101 19781130    27.6
19781201 19781231    27.8
19790101 19790131     6.0
19790201 19790228    39.3
19790301 19790331    19.8
19790401 19790430    25.8
19790501 19790531   103.0
19790601 19790630    68.0
19790701 19790731    87.3
19790801 19790831   191.1
19790901 19790930    80.0
19791001 19791031    25.4
19791101 19791130    50.6
19791201 19791231     4.2
19800101 19800131    18.8
19800201 19800229    88.8
19800301 19800331     1.8
19800401 19800430    53.6
19800501 19800531    36.3
19800601 19800630    60.8
19800701 19800731    58.8
19800801 19800831    51.4
