PRCP       015019 19030901 20151231 missing_value=99999.9 LAKE NASH                                 
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930    15.1
19791001 19791031     5.0
19791101 19791130     2.2
19791201 19791231    23.3
19800101 19800131    95.0
19800201 19800229    71.9
19800301 19800331    32.7
19800401 19800430     0.0
19800501 19800531     5.3
19800601 19800630     0.0
19800701 19800731     0.8
19800801 19800831     4.6
19800901 19800930     0.0
19801001 19801031     7.2
19801101 19801130     4.2
19801201 19801231    38.0
19810101 19810131   205.0
19810201 19810228    58.8
19810301 19810331     3.8
19810401 19810430     0.0
19810501 19810531    31.0
19810601 19810630     0.0
19810701 19810731     0.0
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130    96.2
19811201 19811231     0.0
19820101 19820131    29.1
19820201 19820228    47.4
19820301 19820331    79.8
19820401 19820430     0.0
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231    16.0
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331   185.4
19830401 19830430    46.8
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     4.0
19830901 19830930     0.0
19831001 19831031     9.0
19831101 19831130    64.2
19831201 19831231    58.4
19840101 19840131   221.0
19840201 19840229    26.0
19840301 19840331   182.0
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    25.6
19840801 19840831    12.0
19840901 19840930    49.0
19841001 19841031    18.4
19841101 19841130    11.8
19841201 19841231    49.8
19850101 19850131     0.0
19850201 19850228    35.8
19850301 19850331    12.4
19850401 19850430     0.0
19850501 19850531    10.4
19850601 19850630    18.6
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031    17.6
19851101 19851130    48.0
19851201 19851231    19.8
19860101 19860131    23.2
19860201 19860228     9.4
19860301 19860331     5.2
19860401 19860430     0.0
19860501 19860531     0.0
19860601 19860630     0.0
19860701 19860731   118.2
19860801 19860831     0.0
19860901 19860930     3.0
19861001 19861031    18.0
19861101 19861130     5.4
19861201 19861231    25.8
19870101 19870131    20.2
19870201 19870228   128.8
19870301 19870331    27.0
19870401 19870430     0.0
19870501 19870531     0.0
19870601 19870630     0.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031     5.6
19871101 19871130    14.4
19871201 19871231   100.0
19880101 19880131    43.4
19880201 19880229     6.2
19880301 19880331    16.6
19880401 19880430    16.6
19880501 19880531    16.0
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831    50.6
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130     4.2
19881201 19881231    16.4
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331    45.8
19890401 19890430     5.0
19890501 19890531    34.4
19890601 19890630    26.0
19890701 19890731     7.0
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     7.0
19891101 19891130   111.8
19891201 19891231    13.0
19900101 19900131    98.2
19900201 19900228     6.0
19900301 19900331     8.4
19900401 19900430    25.0
19900501 19900531    66.0
19900601 19900630     0.0
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     4.2
19901101 19901130     0.0
19901201 19901231     0.0
19910101 19910131    71.2
19910201 19910228   230.4
19910301 19910331     0.0
19910401 19910430     0.0
19910501 19910531     1.0
19910601 19910630     6.4
19910701 19910731     1.6
19910801 19910831     0.0
19910901 19910930     2.0
19911001 19911031     0.0
19911101 19911130   101.4
19911201 19911231    16.2
19920101 19920131     2.0
19920201 19920229   173.3
19920301 19920331     0.0
19920401 19920430     0.0
19920501 19920531    59.8
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930    21.2
19921001 19921031    10.8
19921101 19921130    18.2
19921201 19921231    49.4
19930101 19930131    88.2
19930201 19930228   178.6
19930301 19930331    53.8
19930401 19930430     0.0
19930501 19930531     1.2
19930601 19930630     0.0
19930701 19930731     8.2
19930801 19930831     0.0
19930901 19930930     0.0
19931001 19931031     3.4
19931101 19931130    16.4
19931201 19931231    37.2
19940101 19940131    17.0
19940201 19940228   100.6
19940301 19940331     1.8
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     3.8
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     6.4
19941101 19941130    24.8
19941201 19941231    35.6
19950101 19950131    95.7
19950201 19950228    88.8
19950301 19950331    94.4
19950401 19950430     0.0
19950501 19950531    55.0
19950601 19950630     0.0
19950701 19950731     1.6
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031    38.2
19951101 19951130    40.2
19951201 19951231    50.2
19960101 19960131     7.8
19960201 19960229    12.2
19960301 19960331    88.4
19960401 19960430     8.2
19960501 19960531     0.0
19960601 19960630     0.0
19960701 19960731    12.4
19960801 19960831    33.8
19960901 19960930     0.0
19961001 19961031    16.4
19961101 19961130     2.8
19961201 19961231    66.0
19970101 19970131   138.0
19970201 19970228    48.8
19970301 19970331   141.2
19970401 19970430     0.0
19970501 19970531     6.0
19970601 19970630     4.0
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930    11.4
19971001 19971031     7.0
19971101 19971130    56.4
19971201 19971231    54.2
19980101 19980131 99999.9
19980201 19980228 99999.9
19980301 19980331 99999.9
19980401 19980430 99999.9
19980501 19980531     0.0
19980601 19980630 99999.9
19980701 19980731 99999.9
19980801 19980831     0.0
19980901 19980930 99999.9
19981001 19981031     6.2
19981101 19981130 99999.9
19981201 19981231 99999.9
