PRCP       042023 18850101 20171231 missing_value=99999.9 MILES POST OFFICE                         
19640601 19640630    31.4
19640701 19640731    30.8
19640801 19640831    22.1
19640901 19640930    73.4
19641001 19641031    75.0
19641101 19641130    17.3
19641201 19641231    68.4
19650101 19650131    43.3
19650201 19650228     5.8
19650301 19650331     4.4
19650401 19650430    21.9
19650501 19650531    10.5
19650601 19650630    15.3
19650701 19650731    81.5
19650801 19650831    22.1
19650901 19650930    57.5
19651001 19651031    33.2
19651101 19651130    26.5
19651201 19651231   178.4
19660101 19660131    58.9
19660201 19660228   173.5
19660301 19660331    51.8
19660401 19660430    25.9
19660501 19660531     4.6
19660601 19660630    44.7
19660701 19660731     5.5
19660801 19660831    96.8
19660901 19660930    13.0
19661001 19661031    75.5
19661101 19661130    68.3
19661201 19661231    71.5
19670101 19670131    73.9
19670201 19670228    17.3
19670301 19670331    95.9
19670401 19670430     0.0
19670501 19670531    24.6
19670601 19670630   191.8
19670701 19670731    21.1
19670801 19670831    35.1
19670901 19670930     0.0
19671001 19671031    42.7
19671101 19671130    46.8
19671201 19671231    36.4
19680101 19680131    82.8
19680201 19680229    42.8
19680301 19680331   107.3
19680401 19680430    66.5
19680501 19680531    20.4
19680601 19680630     9.4
19680701 19680731    50.3
19680801 19680831    48.1
19680901 19680930    39.4
19681001 19681031    11.7
19681101 19681130     5.9
19681201 19681231   136.9
19690101 19690131    69.9
19690201 19690228     0.5
19690301 19690331    39.0
19690401 19690430    12.9
19690501 19690531    52.9
19690601 19690630    41.9
19690701 19690731     7.2
19690801 19690831    13.0
19690901 19690930    29.2
19691001 19691031    60.5
19691101 19691130    71.0
19691201 19691231    94.9
19700101 19700131    70.9
19700201 19700228    23.9
19700301 19700331    60.2
19700401 19700430    14.0
19700501 19700531    13.7
19700601 19700630    17.0
19700701 19700731     0.3
19700801 19700831     8.4
19700901 19700930    50.2
19701001 19701031    22.4
19701101 19701130    41.6
19701201 19701231   442.5
19710101 19710131   241.9
19710201 19710228   125.9
19710301 19710331    13.7
19710401 19710430     3.0
