PRCP       018001 19070801 20180131 missing_value=99999.9 ARNO BAY                                  
19970901 19970930    71.4
19971001 19971031    49.4
19971101 19971130    15.4
19971201 19971231    33.0
19980101 19980131     9.0
19980201 19980228     8.6
19980301 19980331    10.8
19980401 19980430    42.0
19980501 19980531    11.0
19980601 19980630    42.0
19980701 19980731    35.2
19980801 19980831    25.6
19980901 19980930    35.4
19981001 19981031    24.4
19981101 19981130    38.2
19981201 19981231     4.8
19990101 19990131     7.6
19990201 19990228     2.4
19990301 19990331    32.6
19990401 19990430     8.2
19990501 19990531    31.4
19990601 19990630    22.0
19990701 19990731    16.4
19990801 19990831    18.2
19990901 19990930    29.6
19991001 19991031    42.2
19991101 19991130    39.2
19991201 19991231    34.0
20000101 20000131     4.6
20000201 20000229    48.8
20000301 20000331    20.8
20000401 20000430    26.0
20000501 20000531    45.8
20000601 20000630    27.4
20000701 20000731    91.2
20000801 20000831    39.0
20000901 20000930    26.0
20001001 20001031    29.2
20001101 20001130     7.6
20001201 20001231     0.0
20010101 20010131     6.8
20010201 20010228    17.8
20010301 20010331    13.2
20010401 20010430     9.8
20010501 20010531    45.0
20010601 20010630    37.8
20010701 20010731    40.4
20010801 20010831    35.0
20010901 20010930    47.4
20011001 20011031    17.0
20011101 20011130    22.2
20011201 20011231    17.0
20020101 20020131    17.2
20020201 20020228     0.0
20020301 20020331     5.4
20020401 20020430     8.0
20020501 20020531    36.0
20020601 20020630    12.2
20020701 20020731    38.0
20020801 20020831    16.6
20020901 20020930     8.6
20021001 20021031    10.0
20021101 20021130    57.0
20021201 20021231     7.4
