PRCP       063005 19080701 20180131 missing_value=99999.9 BATHURST AGRICULTURAL STATION             
19880701 19880731    40.6
19880801 19880831    71.4
19880901 19880930    65.4
19881001 19881031    18.2
19881101 19881130    53.4
19881201 19881231   104.0
19890101 19890131    45.4
19890201 19890228    49.4
19890301 19890331   125.2
19890401 19890430   151.2
19890501 19890531    58.2
19890601 19890630    37.6
19890701 19890731    47.8
19890801 19890831    36.2
19890901 19890930    21.8
19891001 19891031    24.8
19891101 19891130    60.0
19891201 19891231    69.4
19900101 19900131    46.0
19900201 19900228    98.6
19900301 19900331    27.8
19900401 19900430   166.0
19900501 19900531    62.2
19900601 19900630    28.8
19900701 19900731    83.0
19900801 19900831   144.0
19900901 19900930    17.8
19901001 19901031    37.0
19901101 19901130    14.0
19901201 19901231     8.8
19910101 19910131    47.6
19910201 19910228     7.4
19910301 19910331    59.2
19910401 19910430     8.0
19910501 19910531    30.8
19910601 19910630    48.2
19910701 19910731    60.8
19910801 19910831    67.8
19910901 19910930    42.2
19911001 19911031    27.6
19911101 19911130    27.2
19911201 19911231    83.6
19920101 19920131   142.0
19920201 19920229   160.6
19920301 19920331    25.0
19920401 19920430    36.2
19920501 19920531    27.4
19920601 19920630    17.4
19920701 19920731    23.0
19920801 19920831    71.0
19920901 19920930    51.0
19921001 19921031    61.6
19921101 19921130    84.6
19921201 19921231   140.6
19930101 19930131    29.6
19930201 19930228    54.6
19930301 19930331    72.0
19930401 19930430    14.2
19930501 19930531    34.8
19930601 19930630    28.0
19930701 19930731    84.8
19930801 19930831    22.0
19930901 19930930    83.8
19931001 19931031    85.0
19931101 19931130    94.4
19931201 19931231    23.6
19940101 19940131     6.6
19940201 19940228   132.4
19940301 19940331    33.8
19940401 19940430    25.6
19940501 19940531     6.6
19940601 19940630    45.0
19940701 19940731    32.2
19940801 19940831    10.8
19940901 19940930    10.8
19941001 19941031    38.2
19941101 19941130    65.0
19941201 19941231    54.6
19950101 19950131   152.9
19950201 19950228     3.0
19950301 19950331     1.4
19950401 19950430     3.2
19950501 19950531   115.0
