PRCP       037043 18911101 20120831 missing_value=99999.9 URANDANGIE                                
19780801 19780831     0.8
19780901 19780930     7.8
19781001 19781031    19.4
19781101 19781130    30.8
19781201 19781231    15.4
19790101 19790131    65.0
19790201 19790228   119.2
19790301 19790331    48.0
19790401 19790430     0.0
19790501 19790531    15.3
19790601 19790630    19.8
19790701 19790731     0.0
19790801 19790831     3.2
19790901 19790930    14.4
19791001 19791031     4.0
19791101 19791130    17.5
19791201 19791231    13.0
19800101 19800131    44.6
19800201 19800229    75.8
19800301 19800331     7.4
19800401 19800430     0.0
19800501 19800531    13.7
19800601 19800630     0.0
19800701 19800731     1.4
19800801 19800831     7.4
19800901 19800930     0.0
19801001 19801031     9.4
19801101 19801130     4.8
19801201 19801231    30.4
19810101 19810131   204.6
19810201 19810228    30.6
19810301 19810331     4.0
19810401 19810430     0.0
19810501 19810531    21.8
19810601 19810630     8.6
19810701 19810731     4.4
19810801 19810831     0.0
19810901 19810930     7.2
19811001 19811031     6.0
19811101 19811130    65.0
19811201 19811231     0.0
19820101 19820131    18.8
19820201 19820228    73.6
19820301 19820331    69.4
19820401 19820430     1.0
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.4
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130     2.0
19821201 19821231     6.2
19830101 19830131    15.3
19830201 19830228     7.0
19830301 19830331   150.2
19830401 19830430    84.4
19830501 19830531     0.0
19830601 19830630     0.8
19830701 19830731     0.0
19830801 19830831     8.2
19830901 19830930     0.0
19831001 19831031    10.6
19831101 19831130    97.4
19831201 19831231    25.8
19840101 19840131   137.8
19840201 19840229    16.7
19840301 19840331    56.0
19840401 19840430     4.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    35.0
19840801 19840831    10.2
19840901 19840930    27.2
19841001 19841031    37.0
19841101 19841130     2.9
19841201 19841231   185.8
19850101 19850131     0.0
19850201 19850228    32.1
19850301 19850331     0.2
19850401 19850430     0.4
19850501 19850531     0.4
19850601 19850630    14.8
19850701 19850731     0.0
19850801 19850831     2.4
19850901 19850930     0.0
19851001 19851031    12.6
19851101 19851130    49.2
19851201 19851231    15.0
19860101 19860131    18.4
19860201 19860228     0.0
19860301 19860331     0.0
19860401 19860430     0.0
19860501 19860531     0.0
19860601 19860630     2.8
19860701 19860731    97.6
19860801 19860831     2.6
19860901 19860930     3.5
19861001 19861031    26.4
19861101 19861130     1.6
19861201 19861231    16.2
19870101 19870131    38.6
