PRCP       070027 18890701 20180131 missing_value=99999.9 DELEGATE (WEEWALLA)                       
19680201 19680229     0.0
19680301 19680331    40.8
19680401 19680430    25.1
19680501 19680531    65.6
19680601 19680630    50.4
19680701 19680731    67.9
19680801 19680831    48.7
19680901 19680930    11.0
19681001 19681031    27.3
19681101 19681130    55.2
19681201 19681231   118.8
19690101 19690131    45.2
19690201 19690228    59.7
19690301 19690331    44.6
19690401 19690430    71.7
19690501 19690531    89.7
19690601 19690630    75.5
19690701 19690731    15.8
19690801 19690831    28.7
19690901 19690930    31.7
19691001 19691031    54.6
19691101 19691130   166.4
19691201 19691231    38.0
19700101 19700131    49.5
19700201 19700228    54.0
19700301 19700331   103.3
19700401 19700430    43.0
19700501 19700531    74.0
19700601 19700630    53.0
19700701 19700731     3.2
19700801 19700831    62.0
19700901 19700930    54.2
19701001 19701031    43.2
19701101 19701130   108.1
19701201 19701231    86.9
19710101 19710131   150.9
19710201 19710228   239.6
19710301 19710331    52.3
19710401 19710430    20.8
19710501 19710531    28.9
19710601 19710630    15.9
19710701 19710731    22.6
19710801 19710831    23.1
19710901 19710930    26.4
19711001 19711031    38.3
19711101 19711130    93.7
19711201 19711231    73.7
19720101 19720131    80.2
19720201 19720229   112.5
19720301 19720331    15.3
19720401 19720430    28.4
19720501 19720531    44.9
19720601 19720630    24.5
19720701 19720731     7.4
19720801 19720831    49.2
19720901 19720930    12.7
19721001 19721031    28.7
19721101 19721130    81.9
19721201 19721231     7.2
19730101 19730131    34.7
19730201 19730228   106.4
19730301 19730331    64.1
19730401 19730430    14.0
19730501 19730531    12.6
19730601 19730630    38.4
19730701 19730731    26.8
19730801 19730831    55.9
19730901 19730930    16.0
19731001 19731031    62.5
19731101 19731130   127.0
19731201 19731231    57.3
19740101 19740131    59.2
19740201 19740228    64.0
19740301 19740331   147.6
19740401 19740430   124.2
19740501 19740531   133.2
19740601 19740630    71.6
19740701 19740731    66.0
19740801 19740831    57.6
19740901 19740930    46.8
19741001 19741031   119.0
19741101 19741130    75.6
19741201 19741231    30.4
19750101 19750131   104.8
19750201 19750228    50.0
19750301 19750331    73.3
19750401 19750430    62.6
19750501 19750531     4.8
19750601 19750630   131.4
19750701 19750731    13.4
19750801 19750831    52.1
19750901 19750930    50.6
19751001 19751031    63.2
19751101 19751130    20.0
19751201 19751231    33.4
19760101 19760131    66.8
19760201 19760229    49.2
19760301 19760331    36.2
19760401 19760430    19.6
19760501 19760531     4.4
19760601 19760630    23.6
19760701 19760731     9.0
19760801 19760831    60.0
19760901 19760930    83.4
19761001 19761031   118.4
19761101 19761130    95.8
19761201 19761231    35.6
19770101 19770131    26.4
19770201 19770228    95.6
19770301 19770331    52.0
19770401 19770430    31.2
19770501 19770531    16.2
19770601 19770630    76.2
19770701 19770731    95.8
19770801 19770831    15.4
19770901 19770930   111.6
19771001 19771031    16.2
19771101 19771130    25.8
19771201 19771231    28.0
19780101 19780131    33.4
19780201 19780228    19.2
19780301 19780331   129.2
19780401 19780430    56.6
19780501 19780531   103.0
19780601 19780630   234.3
19780701 19780731    82.4
19780801 19780831    27.4
19780901 19780930    52.4
19781001 19781031    45.0
19781101 19781130    52.0
19781201 19781231    52.2
19790101 19790131    33.6
19790201 19790228     4.0
19790301 19790331   116.3
19790401 19790430    41.4
19790501 19790531    26.0
19790601 19790630     6.6
19790701 19790731     9.2
19790801 19790831    36.4
19790901 19790930    11.0
19791001 19791031    39.4
19791101 19791130    66.2
19791201 19791231     5.0
19800101 19800131   130.0
19800201 19800229    14.4
19800301 19800331    27.0
19800401 19800430     3.4
19800501 19800531    30.6
19800601 19800630    20.2
19800701 19800731    23.2
19800801 19800831    30.2
19800901 19800930    26.2
19801001 19801031    66.8
19801101 19801130    33.8
19801201 19801231    66.0
19810101 19810131    27.6
19810201 19810228    54.8
19810301 19810331    36.4
19810401 19810430    24.2
19810501 19810531   117.0
19810601 19810630    49.2
19810701 19810731    29.0
19810801 19810831    35.0
19810901 19810930    18.8
19811001 19811031    15.2
19811101 19811130    51.4
19811201 19811231    24.8
19820101 19820131    32.2
19820201 19820228     2.4
19820301 19820331   127.0
19820401 19820430    22.0
19820501 19820531    14.4
19820601 19820630    27.8
19820701 19820731    40.6
19820801 19820831     7.0
19820901 19820930    43.4
19821001 19821031    17.2
19821101 19821130     4.2
19821201 19821231    50.0
19830101 19830131    15.2
19830201 19830228    62.2
19830301 19830331   114.7
19830401 19830430    33.0
19830501 19830531   122.4
19830601 19830630    33.6
19830701 19830731    84.0
19830801 19830831    52.6
19830901 19830930    41.0
19831001 19831031    83.4
19831101 19831130    42.8
19831201 19831231    49.6
19840101 19840131   113.4
19840201 19840229    51.0
19840301 19840331    47.0
19840401 19840430    35.0
19840501 19840531    15.0
19840601 19840630    70.2
