PRCP       007007 18910101 20161130 missing_value=99999.9 BOOLARDY                                  
19650801 19650831    30.0
19650901 19650930     1.5
19651001 19651031     5.1
19651101 19651130    40.6
19651201 19651231     4.4
19660101 19660131     4.5
19660201 19660228    12.5
19660301 19660331     7.4
19660401 19660430   133.5
19660501 19660531     0.0
19660601 19660630    23.7
19660701 19660731    20.4
19660801 19660831     3.6
19660901 19660930     1.5
19661001 19661031    33.5
19661101 19661130     1.0
19661201 19661231     0.0
19670101 19670131   107.9
19670201 19670228     0.0
19670301 19670331     0.0
19670401 19670430     3.3
19670501 19670531    46.7
19670601 19670630    27.2
19670701 19670731     9.5
19670801 19670831    19.3
19670901 19670930     3.8
19671001 19671031     5.6
19671101 19671130     0.5
19671201 19671231     4.3
19680101 19680131    10.6
19680201 19680229    27.3
19680301 19680331    31.5
19680401 19680430    28.1
19680501 19680531     8.9
19680601 19680630   101.3
19680701 19680731     6.7
19680801 19680831    12.2
19680901 19680930    11.1
19681001 19681031     0.0
19681101 19681130     3.6
19681201 19681231     0.0
19690101 19690131     0.0
19690201 19690228    31.1
19690301 19690331     0.0
19690401 19690430     4.1
19690501 19690531    97.8
19690601 19690630    24.6
19690701 19690731     5.0
19690801 19690831     0.0
19690901 19690930     2.8
19691001 19691031     2.8
19691101 19691130     3.8
19691201 19691231     0.0
19700101 19700131     0.0
19700201 19700228    38.6
19700301 19700331     1.5
19700401 19700430    39.2
19700501 19700531    58.1
19700601 19700630    25.5
19700701 19700731     5.8
19700801 19700831     2.5
19700901 19700930     8.1
19701001 19701031     0.0
19701101 19701130     4.3
19701201 19701231     4.3
19710101 19710131    24.4
19710201 19710228    29.5
19710301 19710331    27.9
19710401 19710430     0.0
19710501 19710531    31.3
19710601 19710630    23.8
19710701 19710731    81.4
19710801 19710831    18.1
19710901 19710930     0.0
19711001 19711031    16.5
19711101 19711130     0.0
19711201 19711231     0.0
19720101 19720131     8.6
19720201 19720229     0.0
19720301 19720331     1.3
19720401 19720430     0.0
19720501 19720531    16.2
19720601 19720630    40.2
19720701 19720731    88.8
19720801 19720831     9.6
19720901 19720930     1.3
19721001 19721031     0.0
19721101 19721130     6.4
19721201 19721231     0.0
19730101 19730131    14.3
19730201 19730228     0.0
19730301 19730331     0.0
19730401 19730430    15.7
19730501 19730531    47.5
19730601 19730630    61.6
19730701 19730731    57.1
19730801 19730831    16.0
19730901 19730930     2.3
19731001 19731031    16.8
19731101 19731130    24.4
19731201 19731231     3.0
19740101 19740131    31.6
19740201 19740228     5.2
19740301 19740331    47.9
19740401 19740430    12.8
19740501 19740531    83.5
19740601 19740630     9.8
19740701 19740731   104.7
19740801 19740831    33.6
19740901 19740930    29.5
19741001 19741031    16.6
19741101 19741130     7.7
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228   179.7
19750301 19750331    34.2
19750401 19750430   106.9
19750501 19750531    49.8
19750601 19750630    20.0
19750701 19750731    21.7
19750801 19750831    15.8
19750901 19750930     0.0
19751001 19751031    62.8
19751101 19751130    27.0
19751201 19751231     0.0
19760101 19760131     1.8
19760201 19760229    22.8
19760301 19760331     0.0
19760401 19760430     9.3
19760501 19760531     5.6
19760601 19760630     0.0
19760701 19760731     1.2
19760801 19760831    11.0
19760901 19760930    14.7
19761001 19761031     0.6
19761101 19761130     0.0
19761201 19761231     0.0
19770101 19770131     0.0
19770201 19770228     1.2
19770301 19770331     1.2
19770401 19770430     9.4
19770501 19770531    24.4
19770601 19770630     9.2
19770701 19770731     5.0
19770801 19770831     6.3
19770901 19770930     0.0
19771001 19771031    11.0
19771101 19771130     1.2
19771201 19771231    10.2
19780101 19780131    12.8
19780201 19780228   148.4
19780301 19780331     5.8
19780401 19780430    14.6
19780501 19780531     3.8
19780601 19780630     0.0
19780701 19780731    53.8
19780801 19780831    22.0
19780901 19780930    10.1
19781001 19781031     0.0
19781101 19781130    20.8
19781201 19781231     2.6
19790101 19790131     0.0
19790201 19790228     5.0
19790301 19790331     5.2
19790401 19790430    10.4
19790501 19790531     4.9
19790601 19790630    16.0
19790701 19790731     4.0
19790801 19790831    17.4
19790901 19790930     0.0
19791001 19791031     0.0
19791101 19791130     2.6
19791201 19791231    12.2
19800101 19800131    14.1
19800201 19800229     4.4
19800301 19800331     8.6
19800401 19800430    21.4
