PRCP       022009 18791001 20171130 missing_value=99999.9 MINLATON                                  
19700601 19700630    45.3
19700701 19700731    50.1
19700801 19700831    74.3
19700901 19700930    68.5
19701001 19701031     8.2
19701101 19701130    16.3
19701201 19701231    28.7
19710101 19710131     2.5
19710201 19710228     1.0
19710301 19710331    19.6
19710401 19710430   105.8
19710501 19710531    67.4
19710601 19710630    47.8
19710701 19710731    27.9
19710801 19710831   100.5
19710901 19710930    38.0
19711001 19711031    21.6
19711101 19711130    25.1
19711201 19711231    43.5
19720101 19720131    64.2
19720201 19720229    19.4
19720301 19720331     0.8
19720401 19720430    16.9
19720501 19720531    18.5
19720601 19720630    35.3
19720701 19720731    75.3
19720801 19720831    72.9
19720901 19720930    22.6
19721001 19721031    10.2
19721101 19721130    11.1
19721201 19721231    18.0
19730101 19730131     4.3
19730201 19730228    38.4
19730301 19730331    32.0
19730401 19730430    51.0
19730501 19730531    48.0
19730601 19730630    87.7
19730701 19730731    72.7
19730801 19730831    67.8
19730901 19730930    78.2
19731001 19731031    38.8
19731101 19731130    12.7
19731201 19731231    31.0
19740101 19740131    51.0
19740201 19740228     9.6
19740301 19740331     2.7
19740401 19740430    60.7
19740501 19740531    81.5
19740601 19740630    17.8
19740701 19740731   117.7
19740801 19740831    39.1
19740901 19740930    42.3
19741001 19741031    84.0
19741101 19741130     6.9
19741201 19741231    11.6
19750101 19750131    13.0
19750201 19750228     2.8
19750301 19750331    47.9
