PRCP       010636 19061001 20121231 missing_value=99999.9 THE OAKS                                  
19931201 19931231     3.2
19940101 19940131     0.0
19940201 19940228     0.6
19940301 19940331     0.2
19940401 19940430     0.8
19940501 19940531    89.4
19940601 19940630    28.4
19940701 19940731    31.0
19940801 19940831    69.8
19940901 19940930    23.8
19941001 19941031    23.4
19941101 19941130    23.8
19941201 19941231     0.4
19950101 19950131    14.8
19950201 19950228    21.2
19950301 19950331     8.2
19950401 19950430    22.4
19950501 19950531    60.2
19950601 19950630    55.0
19950701 19950731    77.2
19950801 19950831    18.6
19950901 19950930    45.0
19951001 19951031    61.2
19951101 19951130     4.8
19951201 19951231    23.4
19960101 19960131     2.2
19960201 19960229     1.0
19960301 19960331     0.6
19960401 19960430    13.2
19960501 19960531    30.0
19960601 19960630    60.2
19960701 19960731   119.2
19960801 19960831    37.4
19960901 19960930    53.8
19961001 19961031    23.0
19961101 19961130    29.4
19961201 19961231     8.0
19970101 19970131     0.0
19970201 19970228    47.4
19970301 19970331    67.6
19970401 19970430    12.0
19970501 19970531    39.0
19970601 19970630    38.6
19970701 19970731    49.4
19970801 19970831    42.4
19970901 19970930    37.8
19971001 19971031    17.8
19971101 19971130    11.8
19971201 19971231     0.6
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331    29.4
19980401 19980430    60.6
19980501 19980531    28.2
19980601 19980630    78.8
19980701 19980731    53.6
19980801 19980831    87.2
19980901 19980930    42.0
19981001 19981031    18.2
19981101 19981130    41.8
19981201 19981231    13.4
19990101 19990131    13.8
19990201 19990228     0.4
19990301 19990331    16.0
19990401 19990430    14.6
19990501 19990531    49.4
19990601 19990630    72.6
19990701 19990731    47.0
19990801 19990831    67.8
19990901 19990930    47.6
19991001 19991031    38.8
19991101 19991130    12.0
19991201 19991231    31.4
20000101 20000131    97.4
20000201 20000229     0.0
20000301 20000331    54.2
20000401 20000430    15.8
20000501 20000531     3.2
20000601 20000630    49.4
20000701 20000731    75.0
20000801 20000831    47.2
20000901 20000930    13.6
20001001 20001031     0.8
20001101 20001130     5.2
20001201 20001231     1.2
20010101 20010131     1.2
20010201 20010228     5.6
20010301 20010331     1.8
20010401 20010430     0.4
20010501 20010531    40.2
20010601 20010630    10.0
20010701 20010731    42.4
20010801 20010831    62.4
20010901 20010930    35.6
20011001 20011031    20.2
20011101 20011130    46.4
20011201 20011231    45.0
20020101 20020131     3.2
20020201 20020228     1.4
