PRCP       033082 18980101 20180131 missing_value=99999.9 STRATHMORE                                
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031    39.5
19871101 19871130    71.5
19871201 19871231    54.0
19880101 19880131    72.0
19880201 19880229   218.0
19880301 19880331   170.0
19880401 19880430   194.0
19880501 19880531    58.5
19880601 19880630    19.5
19880701 19880731    44.4
19880801 19880831    17.0
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130   118.5
19881201 19881231   318.0
19890101 19890131   107.8
19890201 19890228    81.5
19890301 19890331    89.0
19890401 19890430   237.0
19890501 19890531    42.0
19890601 19890630    53.0
19890701 19890731    49.5
19890801 19890831     9.5
19890901 19890930     0.0
19891001 19891031    12.5
19891101 19891130    41.5
19891201 19891231    32.5
19900101 19900131    20.5
19900201 19900228    16.0
19900301 19900331   307.2
19900401 19900430    99.0
19900501 19900531   105.0
19900601 19900630    89.0
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031    11.2
19901101 19901130     0.0
19901201 19901231   307.5
19910101 19910131   265.0
19910201 19910228   474.0
19910301 19910331    11.0
19910401 19910430     0.0
19910501 19910531 99999.9
19910601 19910630     0.0
19910701 19910731     0.0
19910801 19910831    12.5
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130     4.0
19911201 19911231   152.0
19920101 19920131    31.0
19920201 19920229    53.0
19920301 19920331    31.5
19920401 19920430     6.0
19920501 19920531    46.5
19920601 19920630    36.0
19920701 19920731 99999.9
19920801 19920831     0.0
19920901 19920930    37.5
19921001 19921031     0.0
19921101 19921130     5.0
19921201 19921231    86.5
19930101 19930131   125.5
19930201 19930228    22.5
19930301 19930331    14.0
19930401 19930430     0.0
19930501 19930531     0.0
