PRCP       098000 19091101 20180131 missing_value=99999.9 CITY OF MELBOURNE BAY                     
19830601 19830630   136.1
19830701 19830731   137.1
19830801 19830831    84.5
19830901 19830930   115.1
19831001 19831031    42.9
19831101 19831130    78.4
19831201 19831231    28.8
19840101 19840131    21.0
19840201 19840229    18.7
19840301 19840331    97.8
19840401 19840430    60.6
19840501 19840531    62.2
19840601 19840630    87.6
19840701 19840731   103.7
19840801 19840831   163.6
19840901 19840930   149.9
19841001 19841031    43.3
19841101 19841130    35.2
19841201 19841231    93.4
19850101 19850131    32.1
19850201 19850228    11.0
19850301 19850331    39.4
19850401 19850430    78.0
19850501 19850531   110.2
19850601 19850630   161.6
19850701 19850731   117.8
19850801 19850831   104.3
19850901 19850930    31.4
19851001 19851031    68.1
19851101 19851130   106.0
19851201 19851231    93.9
19860101 19860131    35.6
19860201 19860228    32.2
19860301 19860331    22.2
19860401 19860430   129.6
19860501 19860531   152.6
19860601 19860630   105.4
19860701 19860731   120.6
19860801 19860831    70.2
19860901 19860930   126.2
19861001 19861031   131.4
19861101 19861130    24.8
19861201 19861231   131.8
19870101 19870131    50.2
19870201 19870228    34.6
19870301 19870331    66.6
19870401 19870430    73.6
19870501 19870531   159.2
19870601 19870630    63.6
19870701 19870731   114.4
19870801 19870831    63.6
19870901 19870930    94.4
19871001 19871031    62.0
19871101 19871130    59.2
19871201 19871231    71.8
19880101 19880131    30.4
19880201 19880229    23.0
19880301 19880331    24.0
19880401 19880430    27.6
19880501 19880531   134.0
19880601 19880630    99.8
19880701 19880731   197.0
19880801 19880831   133.6
19880901 19880930    70.2
19881001 19881031   121.4
19881101 19881130    98.4
19881201 19881231    42.2
19890101 19890131    68.0
19890201 19890228    53.6
19890301 19890331    62.0
19890401 19890430   102.8
19890501 19890531   116.8
19890601 19890630   154.2
19890701 19890731   112.2
19890801 19890831   100.2
19890901 19890930   141.4
19891001 19891031   167.2
19891101 19891130    19.8
19891201 19891231    56.4
19900101 19900131    19.6
19900201 19900228    90.8
19900301 19900331    50.2
19900401 19900430    64.2
19900501 19900531    59.6
19900601 19900630   126.8
19900701 19900731   135.2
19900801 19900831   194.4
19900901 19900930   116.2
19901001 19901031    89.0
19901101 19901130    49.6
19901201 19901231    36.8
19910101 19910131    54.2
19910201 19910228     8.6
19910301 19910331    72.0
19910401 19910430    55.4
19910501 19910531    32.0
19910601 19910630   167.8
19910701 19910731   132.4
19910801 19910831   271.4
19910901 19910930   118.0
19911001 19911031    30.2
19911101 19911130    73.6
19911201 19911231    65.0
19920101 19920131    31.8
19920201 19920229    61.8
19920301 19920331    22.4
19920401 19920430   130.6
19920501 19920531   129.2
19920601 19920630   130.6
19920701 19920731   134.6
19920801 19920831   195.8
