PRCP       059019 19280101 20171231 missing_value=99999.9 THE RACECOURSE                            
20041001 20041031   192.4
20041101 20041130   127.6
20041201 20041231   139.6
20050101 20050131   240.8
20050201 20050228    89.8
20050301 20050331    46.0
20050401 20050430    49.6
20050501 20050531    77.0
20050601 20050630   143.6
20050701 20050731    24.2
20050801 20050831    16.6
20050901 20050930   106.0
20051001 20051031    89.6
20051101 20051130   107.0
20051201 20051231    71.0
20060101 20060131   294.6
20060201 20060228   208.8
20060301 20060331   399.6
20060401 20060430    57.2
20060501 20060531     9.4
20060601 20060630    53.8
20060701 20060731    63.2
20060801 20060831   147.4
20060901 20060930   186.4
20061001 20061031    82.2
20061101 20061130   128.6
20061201 20061231    89.0
20070101 20070131   102.0
20070201 20070228   154.8
20070301 20070331   134.0
20070401 20070430    79.6
20070501 20070531    34.2
20070601 20070630    69.2
20070701 20070731     7.8
20070801 20070831   313.8
20070901 20070930    80.2
20071001 20071031    76.0
20071101 20071130   115.8
20071201 20071231   193.6
20080101 20080131 99999.9
20080201 20080229   207.2
20080301 20080331    47.2
20080401 20080430   200.2
20080501 20080531    33.0
20080601 20080630 99999.9
20080701 20080731    80.4
20080801 20080831    45.4
20080901 20080930   147.2
20081001 20081031    69.8
20081101 20081130   182.2
20081201 20081231    98.0
20090101 20090131    76.0
20090201 20090228   328.0
20090301 20090331   203.2
20090401 20090430   223.6
20090501 20090531   592.5
20090601 20090630   148.6
20090701 20090731    45.2
20090801 20090831     2.6
20090901 20090930    28.2
20091001 20091031   139.2
20091101 20091130    44.4
20091201 20091231   218.8
20100101 20100131    93.6
20100201 20100228   188.2
20100301 20100331   275.4
20100401 20100430    35.8
20100501 20100531    55.6
20100601 20100630    61.0
20100701 20100731    68.0
20100801 20100831    42.8
20100901 20100930    67.6
20101001 20101031   212.4
20101101 20101130   230.8
20101201 20101231 99999.9
20110101 20110131   290.4
20110201 20110228    85.6
20110301 20110331   144.2
20110401 20110430   210.6
20110501 20110531 99999.9
20110601 20110630   559.8
20110701 20110731    37.4
20110801 20110831   181.4
20110901 20110930    78.6
20111001 20111031    70.4
20111101 20111130   227.6
20111201 20111231    95.4
20120101 20120131   426.2
20120201 20120229   116.4
20120301 20120331    93.4
20120401 20120430    68.3
20120501 20120531    38.6
20120601 20120630   122.8
20120701 20120731    75.6
20120801 20120831     6.0
20120901 20120930    30.6
20121001 20121031    24.2
20121101 20121130   158.6
20121201 20121231   184.4
20130101 20130131   396.4
20130201 20130228   643.4
20130301 20130331    92.0
20130401 20130430    50.0
20130501 20130531    91.0
20130601 20130630    99.0
20130701 20130731    79.4
20130801 20130831     7.0
20130901 20130930    28.8
20131001 20131031    24.6
20131101 20131130   135.6
20131201 20131231    69.2
20140101 20140131    38.4
20140201 20140228   103.2
20140301 20140331   141.6
20140401 20140430    64.0
20140501 20140531    18.0
20140601 20140630    30.0
20140701 20140731    25.0
20140801 20140831   231.6
20140901 20140930    31.0
20141001 20141031    26.0
20141101 20141130   112.6
20141201 20141231   275.4
20150101 20150131   133.2
20150201 20150228   191.2
20150301 20150331 99999.9
20150401 20150430   112.6
20150501 20150531   163.6
20150601 20150630    53.6
20150701 20150731    28.8
20150801 20150831    59.6
20150901 20150930    62.6
20151001 20151031    48.1
20151101 20151130    68.0
20151201 20151231   116.2
20160101 20160131   136.2
20160201 20160229    75.0
20160301 20160331    38.6
20160401 20160430    96.0
20160501 20160531    14.6
20160601 20160630   250.4
20160701 20160731    54.2
20160801 20160831   238.8
20160901 20160930    58.2
20161001 20161031    59.0
20161101 20161130    38.4
20161201 20161231    88.2
20170101 20170131   108.2
20170201 20170228    95.4
20170301 20170331   548.6
20170401 20170430    65.6
20170501 20170531    44.6
20170601 20170630   159.8
20170701 20170731     8.6
20170801 20170831     4.0
20170901 20170930     1.4
20171001 20171031   215.2
20171101 20171130   109.0
20171201 20171231   129.0
