PRCP       050031 18901001 20180131 missing_value=99999.9 PEAK HILL POST OFFICE                     
19820101 19820131    33.8
19820201 19820228    39.8
19820301 19820331    84.4
19820401 19820430    19.4
19820501 19820531     7.0
19820601 19820630    12.8
19820701 19820731     4.6
19820801 19820831     0.2
19820901 19820930    10.4
19821001 19821031    19.4
19821101 19821130    16.6
19821201 19821231    22.0
19830101 19830131    30.6
19830201 19830228    19.4
19830301 19830331    23.2
19830401 19830430    41.4
19830501 19830531   114.4
19830601 19830630    16.4
19830701 19830731    73.8
19830801 19830831    56.4
19830901 19830930    36.8
19831001 19831031    65.0
19831101 19831130   122.8
19831201 19831231    48.0
19840101 19840131   237.6
19840201 19840229   107.2
19840301 19840331    31.6
19840401 19840430    51.9
19840501 19840531     2.4
19840601 19840630     0.0
19840701 19840731   125.6
19840801 19840831    61.2
19840901 19840930    43.2
19841001 19841031    76.2
19841101 19841130    27.6
19841201 19841231     7.2
19850101 19850131     3.4
19850201 19850228    31.2
19850301 19850331    77.6
19850401 19850430    46.6
19850501 19850531    38.6
19850601 19850630    35.0
19850701 19850731    10.4
19850801 19850831    81.6
19850901 19850930    34.0
19851001 19851031    61.4
