PRCP       017031 18850801 20141231 missing_value=99999.9 MARREE                                    
19690401 19690430     2.8
19690501 19690531     6.3
19690601 19690630    12.2
19690701 19690731    13.5
19690801 19690831     4.1
19690901 19690930    13.5
19691001 19691031    26.0
19691101 19691130     3.3
19691201 19691231    18.3
19700101 19700131     0.0
19700201 19700228    17.5
19700301 19700331     0.8
19700401 19700430    52.8
19700501 19700531     0.8
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     1.6
19700901 19700930    29.0
19701001 19701031     2.6
19701101 19701130    12.2
19701201 19701231     1.8
19710101 19710131     0.0
19710201 19710228     7.1
19710301 19710331    28.9
19710401 19710430    26.1
19710501 19710531     0.0
19710601 19710630     7.1
19710701 19710731     0.3
19710801 19710831    19.3
19710901 19710930     4.6
19711001 19711031     0.0
19711101 19711130    35.4
19711201 19711231     3.3
19720101 19720131   121.2
19720201 19720229     0.8
19720301 19720331     0.5
19720401 19720430     0.0
19720501 19720531     1.3
19720601 19720630     1.3
19720701 19720731     0.0
19720801 19720831    11.5
19720901 19720930     7.9
19721001 19721031     1.8
19721101 19721130     1.0
19721201 19721231     0.5
19730101 19730131     6.6
19730201 19730228    36.0
19730301 19730331    52.8
19730401 19730430    20.8
19730501 19730531     0.0
19730601 19730630    34.3
19730701 19730731    32.4
19730801 19730831    53.7
19730901 19730930    14.0
19731001 19731031    23.9
19731101 19731130    10.7
19731201 19731231    38.9
19740101 19740131    88.9
19740201 19740228    88.4
19740301 19740331     4.8
19740401 19740430    86.6
19740501 19740531    31.7
19740601 19740630     2.2
19740701 19740731    14.4
19740801 19740831     7.0
19740901 19740930    27.6
19741001 19741031    34.4
19741101 19741130     0.4
19741201 19741231     1.2
19750101 19750131     3.8
19750201 19750228   146.1
19750301 19750331     0.8
19750401 19750430     0.0
19750501 19750531     1.4
19750601 19750630     4.2
19750701 19750731     3.0
19750801 19750831    29.6
19750901 19750930    59.1
19751001 19751031    36.2
19751101 19751130     0.4
19751201 19751231    58.2
19760101 19760131    86.4
19760201 19760229   203.3
19760301 19760331     3.4
19760401 19760430     4.2
19760501 19760531     0.0
19760601 19760630     1.8
19760701 19760731     3.7
19760801 19760831     0.0
19760901 19760930     4.9
19761001 19761031    52.5
19761101 19761130    17.4
19761201 19761231     1.5
19770101 19770131     3.2
19770201 19770228     5.9
19770301 19770331     1.3
19770401 19770430     0.0
19770501 19770531     7.9
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     6.3
19770901 19770930     4.6
19771001 19771031    13.1
19771101 19771130    14.3
19771201 19771231    22.6
19780101 19780131    12.4
19780201 19780228     0.0
19780301 19780331     1.4
19780401 19780430     0.0
19780501 19780531    25.9
19780601 19780630    34.5
19780701 19780731    39.2
19780801 19780831    22.1
19780901 19780930    26.9
19781001 19781031    31.3
19781101 19781130     8.1
19781201 19781231     1.4
19790101 19790131    54.8
19790201 19790228   121.6
19790301 19790331     0.8
19790401 19790430    15.4
19790501 19790531    51.8
19790601 19790630     7.8
19790701 19790731    15.9
19790801 19790831    23.0
19790901 19790930    40.5
19791001 19791031     4.5
19791101 19791130    20.5
19791201 19791231     1.6
19800101 19800131    49.4
19800201 19800229     0.4
19800301 19800331     0.8
19800401 19800430    81.2
19800501 19800531     2.6
19800601 19800630    10.6
19800701 19800731    14.0
19800801 19800831     8.4
19800901 19800930     0.0
19801001 19801031    10.8
19801101 19801130     1.4
19801201 19801231     3.4
19810101 19810131    60.4
