PRCP       050004 19110401 20170731 missing_value=99999.9 BOGAN GATE POST OFFICE                    
20011101 20011130    41.0
20011201 20011231     2.0
20020101 20020131     8.0
20020201 20020228   139.0
20020301 20020331    15.0
20020401 20020430    23.0
20020501 20020531    49.0
20020601 20020630    11.0
20020701 20020731    11.0
20020801 20020831    13.0
20020901 20020930    48.0
20021001 20021031     0.0
20021101 20021130     2.0
20021201 20021231    20.0
20030101 20030131    19.0
20030201 20030228    40.0
20030301 20030331    18.5
20030401 20030430    14.0
20030501 20030531     0.0
20030601 20030630    16.5
20030701 20030731    50.5
20030801 20030831    70.0
20030901 20030930     4.5
20031001 20031031    30.5
20031101 20031130    19.5
20031201 20031231    31.0
20040101 20040131    38.5
20040201 20040229    46.0
20040301 20040331    15.0
20040401 20040430     2.5
20040501 20040531    43.7
20040601 20040630    43.1
20040701 20040731    16.5
20040801 20040831    36.0
20040901 20040930    40.5
20041001 20041031    47.0
20041101 20041130    18.0
20041201 20041231    85.0
20050101 20050131    21.0
20050201 20050228    46.0
20050301 20050331     8.0
20050401 20050430     2.0
20050501 20050531     0.0
20050601 20050630    82.0
20050701 20050731    40.0
20050801 20050831    42.5
20050901 20050930    90.0
20051001 20051031    67.0
20051101 20051130    81.5
20051201 20051231    27.0
20060101 20060131    15.0
20060201 20060228     6.0
20060301 20060331    20.0
