PRCP       031055 19080101 20180131 missing_value=99999.9 SOUTH MOSSMAN ALCHERA DVE                 
19930401 19930430   212.6
19930501 19930531   119.2
19930601 19930630    51.8
19930701 19930731    69.0
19930801 19930831    58.0
19930901 19930930   118.4
19931001 19931031    58.2
19931101 19931130   106.0
19931201 19931231   169.8
19940101 19940131   523.4
19940201 19940228   610.6
19940301 19940331    75.8
19940401 19940430   112.6
19940501 19940531    68.8
19940601 19940630    55.2
19940701 19940731    71.2
19940801 19940831    42.6
19940901 19940930    25.8
19941001 19941031    37.4
19941101 19941130    68.8
19941201 19941231    71.2
19950101 19950131   158.5
19950201 19950228   726.4
19950301 19950331   824.0
19950401 19950430   107.8
19950501 19950531   135.8
19950601 19950630    47.6
19950701 19950731    12.6
19950801 19950831   139.4
19950901 19950930     7.0
19951001 19951031   103.4
19951101 19951130    75.8
19951201 19951231   128.0
19960101 19960131   293.6
19960201 19960229   281.8
19960301 19960331  1147.8
19960401 19960430   235.4
19960501 19960531   151.2
19960601 19960630    50.8
19960701 19960731   117.6
19960801 19960831    12.6
19960901 19960930    16.4
19961001 19961031   367.2
19961101 19961130    11.6
19961201 19961231   470.4
19970101 19970131   571.2
19970201 19970228   421.6
19970301 19970331   239.8
19970401 19970430    61.0
19970501 19970531    19.3
19970601 19970630    81.0
19970701 19970731    19.4
19970801 19970831    31.0
19970901 19970930    87.6
19971001 19971031   185.4
19971101 19971130   103.4
19971201 19971231   414.4
19980101 19980131   674.2
19980201 19980228   694.6
19980301 19980331   217.4
19980401 19980430   168.0
19980501 19980531   106.2
19980601 19980630    39.4
19980701 19980731    44.2
19980801 19980831    52.0
19980901 19980930   151.4
19981001 19981031    78.0
19981101 19981130   202.0
19981201 19981231   136.2
19990101 19990131   269.8
19990201 19990228   470.8
19990301 19990331   757.4
19990401 19990430   198.0
19990501 19990531    22.6
19990601 19990630    12.0
19990701 19990731    44.2
19990801 19990831    64.6
19990901 19990930    29.0
19991001 19991031    49.4
19991101 19991130   510.2
19991201 19991231   221.4
20000101 20000131   293.2
20000201 20000229  1005.4
20000301 20000331   472.4
20000401 20000430   460.8
20000501 20000531    78.6
20000601 20000630    42.8
20000701 20000731    15.2
20000801 20000831    30.8
20000901 20000930    13.0
20001001 20001031   180.2
20001101 20001130   424.0
20001201 20001231   441.6
20010101 20010131   188.0
20010201 20010228   941.8
20010301 20010331   329.8
20010401 20010430   155.2
20010501 20010531     4.4
20010601 20010630    96.3
20010701 20010731     6.2
20010801 20010831    22.0
20010901 20010930    47.6
20011001 20011031   105.8
20011101 20011130   149.2
20011201 20011231    59.8
20020101 20020131    98.0
20020201 20020228   411.8
20020301 20020331    79.2
20020401 20020430   121.6
20020501 20020531    80.0
20020601 20020630    20.2
20020701 20020731    21.2
20020801 20020831    63.8
