PRCP       039037 18810101 20171130 missing_value=99999.9 FAIRYMEAD SUGAR MILL                      
19581001 19581031    24.4
19581101 19581130    59.9
19581201 19581231   113.8
19590101 19590131   245.7
19590201 19590228   231.0
19590301 19590331   154.9
19590401 19590430    34.8
19590501 19590531    81.5
19590601 19590630     2.3
19590701 19590731    74.4
19590801 19590831    11.5
19590901 19590930    12.9
19591001 19591031   154.0
19591101 19591130   239.9
19591201 19591231   116.3
19600101 19600131   287.4
19600201 19600229   199.3
19600301 19600331    23.2
19600401 19600430    26.6
19600501 19600531   128.1
19600601 19600630    13.0
19600701 19600731    14.4
19600801 19600831    33.3
19600901 19600930     5.8
19601001 19601031    38.4
19601101 19601130    26.3
19601201 19601231    89.3
19610101 19610131   130.6
19610201 19610228   317.8
19610301 19610331   163.2
19610401 19610430    25.6
19610501 19610531    21.8
19610601 19610630    15.3
19610701 19610731    46.0
19610801 19610831    34.1
19610901 19610930    18.4
19611001 19611031    35.2
19611101 19611130   159.8
19611201 19611231    40.2
19620101 19620131   226.9
19620201 19620228    56.1
19620301 19620331   271.7
19620401 19620430   245.3
19620501 19620531    34.7
19620601 19620630    28.7
19620701 19620731    59.4
19620801 19620831    10.1
19620901 19620930    40.8
19621001 19621031    10.5
19621101 19621130    69.6
19621201 19621231   403.6
19630101 19630131   194.8
19630201 19630228    38.3
19630301 19630331   366.7
19630401 19630430    25.3
19630501 19630531    19.4
19630601 19630630    35.3
19630701 19630731     1.3
19630801 19630831    19.6
19630901 19630930     5.6
19631001 19631031    26.9
19631101 19631130   111.2
19631201 19631231   104.3
19640101 19640131   120.9
19640201 19640229   103.9
19640301 19640331   125.0
19640401 19640430    11.2
19640501 19640531   117.2
19640601 19640630    28.5
19640701 19640731   104.2
19640801 19640831    54.2
19640901 19640930    32.2
19641001 19641031    52.0
19641101 19641130    68.0
19641201 19641231    44.0
19650101 19650131   175.5
19650201 19650228    12.5
19650301 19650331    20.8
19650401 19650430   122.3
19650501 19650531    26.4
19650601 19650630   102.2
19650701 19650731     8.0
19650801 19650831    17.0
19650901 19650930    38.7
19651001 19651031    91.4
19651101 19651130    29.9
19651201 19651231   150.8
19660101 19660131   125.9
19660201 19660228   117.6
19660301 19660331    81.1
19660401 19660430    43.0
19660501 19660531    29.3
19660601 19660630   135.4
19660701 19660731    53.0
19660801 19660831    55.0
19660901 19660930    52.6
19661001 19661031    49.5
19661101 19661130    41.7
19661201 19661231    80.3
