PRCP       005014 18860701 20180131 missing_value=99999.9 MOUNT FLORANCE                            
19740801 19740831    20.8
19740901 19740930     0.0
19741001 19741031     0.0
19741101 19741130     0.0
19741201 19741231   114.0
19750101 19750131    21.0
19750201 19750228   141.8
19750301 19750331    38.0
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630     7.2
19750701 19750731    13.0
19750801 19750831     0.0
19750901 19750930     0.0
19751001 19751031    19.0
19751101 19751130    10.0
19751201 19751231   362.0
19760101 19760131   114.0
19760201 19760229    48.0
19760301 19760331   117.0
19760401 19760430    10.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031     0.0
19761101 19761130     0.0
19761201 19761231    41.0
19770101 19770131    35.0
19770201 19770228    68.6
19770301 19770331    13.4
19770401 19770430     7.0
19770501 19770531     4.0
19770601 19770630    20.2
19770701 19770731     0.6
19770801 19770831     1.3
19770901 19770930     0.5
19771001 19771031     0.9
19771101 19771130    42.0
19771201 19771231    43.0
19780101 19780131    74.1
19780201 19780228   121.4
19780301 19780331    69.0
19780401 19780430     4.0
19780501 19780531    17.0
19780601 19780630     5.6
19780701 19780731    13.2
19780801 19780831    46.5
19780901 19780930     0.0
19781001 19781031    15.0
19781101 19781130     0.0
19781201 19781231     0.0
19790101 19790131    37.0
19790201 19790228   123.0
19790301 19790331    98.0
19790401 19790430    10.0
19790501 19790531    15.0
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     9.0
19790901 19790930     0.0
19791001 19791031     2.0
19791101 19791130     2.0
19791201 19791231    43.4
19800101 19800131   125.0
19800201 19800229   100.0
19800301 19800331     0.0
19800401 19800430    73.0
19800501 19800531     8.0
19800601 19800630    35.0
19800701 19800731    71.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     0.0
19801101 19801130    12.4
19801201 19801231    28.0
19810101 19810131    81.0
19810201 19810228   151.0
19810301 19810331    29.0
19810401 19810430     0.0
19810501 19810531     6.0
19810601 19810630    11.0
19810701 19810731    22.0
19810801 19810831     0.0
19810901 19810930     0.0
