PRCP       036007 18861201 20180131 missing_value=99999.9 BARCALDINE POST OFFICE                    
19691101 19691130     0.0
19691201 19691231   174.0
19700101 19700131    51.3
19700201 19700228    13.7
19700301 19700331    28.3
19700401 19700430     7.4
19700501 19700531     0.0
19700601 19700630     6.1
19700701 19700731     0.0
19700801 19700831     5.3
19700901 19700930    52.4
19701001 19701031    23.1
19701101 19701130    31.5
19701201 19701231    96.6
19710101 19710131    57.4
19710201 19710228    55.8
19710301 19710331    36.1
19710401 19710430    54.9
19710501 19710531     5.6
19710601 19710630     0.5
19710701 19710731    43.8
19710801 19710831    71.0
19710901 19710930    13.0
19711001 19711031    53.7
19711101 19711130    26.3
19711201 19711231    99.6
19720101 19720131    54.7
19720201 19720229    63.5
19720301 19720331    44.7
19720401 19720430     0.0
19720501 19720531    27.4
19720601 19720630     5.9
19720701 19720731     0.0
19720801 19720831     4.6
19720901 19720930     0.0
19721001 19721031    18.6
19721101 19721130    74.5
19721201 19721231    19.6
19730101 19730131   148.8
19730201 19730228   227.6
19730301 19730331   142.3
19730401 19730430    51.5
19730501 19730531    14.2
19730601 19730630     9.9
19730701 19730731     5.1
19730801 19730831     5.6
19730901 19730930    69.3
19731001 19731031     4.8
19731101 19731130   119.7
19731201 19731231    24.0
19740101 19740131   481.2
19740201 19740228     9.0
19740301 19740331    50.4
19740401 19740430    88.8
19740501 19740531    25.4
19740601 19740630     0.8
19740701 19740731     0.0
19740801 19740831    37.0
19740901 19740930    16.2
19741001 19741031    30.8
19741101 19741130    36.2
19741201 19741231    49.6
19750101 19750131   146.4
19750201 19750228   103.2
19750301 19750331   117.2
19750401 19750430     2.0
19750501 19750531     0.0
19750601 19750630     5.6
19750701 19750731    10.0
19750801 19750831    28.8
19750901 19750930     7.8
19751001 19751031    56.0
19751101 19751130     0.6
19751201 19751231    94.5
19760101 19760131    94.8
19760201 19760229    67.2
19760301 19760331    66.8
19760401 19760430     1.6
19760501 19760531    13.4
19760601 19760630     2.8
19760701 19760731    18.2
19760801 19760831     3.2
19760901 19760930    18.4
19761001 19761031     4.2
19761101 19761130    38.4
19761201 19761231   110.6
19770101 19770131   133.2
19770201 19770228   186.4
19770301 19770331    57.0
19770401 19770430     0.0
19770501 19770531   243.1
19770601 19770630     3.0
19770701 19770731    27.0
19770801 19770831     0.0
19770901 19770930     1.2
19771001 19771031     5.4
19771101 19771130     3.0
19771201 19771231    96.0
19780101 19780131   112.0
19780201 19780228    55.6
19780301 19780331    22.6
19780401 19780430     8.2
19780501 19780531    31.0
19780601 19780630    15.6
19780701 19780731   103.8
19780801 19780831   123.4
19780901 19780930    63.8
19781001 19781031    52.9
19781101 19781130    19.8
19781201 19781231   151.7
19790101 19790131    19.0
19790201 19790228   121.0
19790301 19790331    44.9
19790401 19790430    29.4
19790501 19790531     2.3
19790601 19790630    16.2
19790701 19790731     3.4
19790801 19790831     0.0
19790901 19790930     5.8
19791001 19791031    40.8
19791101 19791130     6.6
19791201 19791231    14.6
19800101 19800131   179.2
19800201 19800229   113.3
19800301 19800331   123.2
19800401 19800430    42.6
19800501 19800531    35.4
19800601 19800630     0.0
19800701 19800731    58.8
19800801 19800831     5.2
19800901 19800930     0.0
19801001 19801031    51.8
19801101 19801130    31.8
19801201 19801231    52.0
19810101 19810131   118.4
19810201 19810228    84.8
19810301 19810331    22.2
19810401 19810430    88.2
19810501 19810531    98.2
19810601 19810630    59.6
19810701 19810731    76.4
19810801 19810831     9.4
19810901 19810930     0.0
19811001 19811031    24.2
19811101 19811130    56.0
19811201 19811231    87.6
