PRCP       080004 18870501 20180131 missing_value=99999.9 CANARY ISLAND                             
19800701 19800731    32.2
19800801 19800831    39.0
19800901 19800930    18.0
19801001 19801031    69.4
19801101 19801130     7.0
19801201 19801231    32.3
19810101 19810131    24.0
19810201 19810228    22.8
19810301 19810331    35.8
19810401 19810430     0.0
19810501 19810531    50.4
19810601 19810630    55.8
19810701 19810731    82.4
19810801 19810831    61.2
19810901 19810930    22.4
19811001 19811031    18.8
19811101 19811130    18.0
19811201 19811231     8.5
19820101 19820131     2.9
19820201 19820228     0.0
19820301 19820331    25.8
19820401 19820430    14.0
19820501 19820531    18.2
19820601 19820630    18.0
19820701 19820731     1.4
19820801 19820831     5.4
