PRCP       012011 19111001 20180131 missing_value=99999.9 BULLFINCH                                 
19900201 19900228    21.5
19900301 19900331    43.0
19900401 19900430    29.2
19900501 19900531     7.5
19900601 19900630    13.8
19900701 19900731    40.6
19900801 19900831    28.0
19900901 19900930     9.1
19901001 19901031    37.1
19901101 19901130     0.0
19901201 19901231     3.0
19910101 19910131     5.7
19910201 19910228     0.0
19910301 19910331     2.6
19910401 19910430    16.1
19910501 19910531    24.6
19910601 19910630    63.1
19910701 19910731    92.3
19910801 19910831    19.0
19910901 19910930    16.4
19911001 19911031     7.6
19911101 19911130    12.6
19911201 19911231    13.4
19920101 19920131     0.3
19920201 19920229    24.7
19920301 19920331    86.2
19920401 19920430    29.5
19920501 19920531     6.0
19920601 19920630    63.2
19920701 19920731    19.6
19920801 19920831   144.3
19920901 19920930    43.8
19921001 19921031     5.8
19921101 19921130     4.2
19921201 19921231     3.9
19930101 19930131     0.0
19930201 19930228     6.0
19930301 19930331    13.0
19930401 19930430    28.8
19930501 19930531    53.5
19930601 19930630    67.2
19930701 19930731    18.1
19930801 19930831    42.7
19930901 19930930    13.0
19931001 19931031     8.0
19931101 19931130    49.8
19931201 19931231     2.8
19940101 19940131    12.4
19940201 19940228    53.4
19940301 19940331     7.8
19940401 19940430     0.0
19940501 19940531    39.4
19940601 19940630    24.2
19940701 19940731    13.4
19940801 19940831    38.4
19940901 19940930    13.6
19941001 19941031    10.3
19941101 19941130     0.0
19941201 19941231    17.3
19950101 19950131    16.2
19950201 19950228   134.4
19950301 19950331    12.2
19950401 19950430    72.7
19950501 19950531    52.0
19950601 19950630    46.5
19950701 19950731    80.8
19950801 19950831     9.7
19950901 19950930    16.6
19951001 19951031     8.2
19951101 19951130     1.9
19951201 19951231    58.1
19960101 19960131     0.0
19960201 19960229     2.3
19960301 19960331     1.4
19960401 19960430   103.5
19960501 19960531     2.4
19960601 19960630    76.4
19960701 19960731    67.0
19960801 19960831    44.0
19960901 19960930    47.5
19961001 19961031     9.1
19961101 19961130    47.9
19961201 19961231     0.0
19970101 19970131     0.0
19970201 19970228    78.0
19970301 19970331    39.7
19970401 19970430    56.2
19970501 19970531    31.5
19970601 19970630    23.2
19970701 19970731    35.0
19970801 19970831    35.9
19970901 19970930    26.0
19971001 19971031     4.3
19971101 19971130    13.4
19971201 19971231     1.6
19980101 19980131    18.0
19980201 19980228     0.0
19980301 19980331     6.8
19980401 19980430    38.7
19980501 19980531    38.2
19980601 19980630    68.3
19980701 19980731    45.3
19980801 19980831    36.8
19980901 19980930    29.7
19981001 19981031     4.4
19981101 19981130     3.0
19981201 19981231    11.4
19990101 19990131    28.5
19990201 19990228    18.4
19990301 19990331   204.2
19990401 19990430    42.2
19990501 19990531   100.1
19990601 19990630    36.8
19990701 19990731    50.7
19990801 19990831    21.2
19990901 19990930    29.5
19991001 19991031    17.5
19991101 19991130    67.0
19991201 19991231    30.3
20000101 20000131   117.0
20000201 20000229    14.8
20000301 20000331   106.4
20000401 20000430    30.6
20000501 20000531     2.2
20000601 20000630    12.0
20000701 20000731    33.6
20000801 20000831    31.5
20000901 20000930    16.2
20001001 20001031     0.0
20001101 20001130     2.8
20001201 20001231     5.0
20010101 20010131   131.0
20010201 20010228    37.0
20010301 20010331     0.0
20010401 20010430     2.8
20010501 20010531    32.6
20010601 20010630     5.4
20010701 20010731    60.8
20010801 20010831    18.4
20010901 20010930    27.8
20011001 20011031    20.9
20011101 20011130    32.2
20011201 20011231    12.2
20020101 20020131     8.0
20020201 20020228     3.4
20020301 20020331    14.8
20020401 20020430    17.2
20020501 20020531     6.6
20020601 20020630    26.6
20020701 20020731    25.5
20020801 20020831    14.0
20020901 20020930    17.6
20021001 20021031     8.0
20021101 20021130    19.7
20021201 20021231    56.8
20030101 20030131     6.8
20030201 20030228    44.2
20030301 20030331    56.7
20030401 20030430    43.6
20030501 20030531    61.8
20030601 20030630    23.8
20030701 20030731    40.4
20030801 20030831    65.8
20030901 20030930    17.9
20031001 20031031    11.6
20031101 20031130    28.6
20031201 20031231    14.0
20040101 20040131    23.4
20040201 20040229    87.1
20040301 20040331    19.8
20040401 20040430    28.6
20040501 20040531    29.9
20040601 20040630    55.6
20040701 20040731    50.3
20040801 20040831    25.0
20040901 20040930    13.8
20041001 20041031    28.9
20041101 20041130     5.8
20041201 20041231    16.5
20050101 20050131     0.0
20050201 20050228     2.0
20050301 20050331    47.3
20050401 20050430     9.0
20050501 20050531   104.4
20050601 20050630    81.8
20050701 20050731     9.9
20050801 20050831    52.6
20050901 20050930    24.6
20051001 20051031    12.5
20051101 20051130     9.8
20051201 20051231     0.0
20060101 20060131    68.3
20060201 20060228    27.0
20060301 20060331    72.0
20060401 20060430    50.0
20060501 20060531    34.6
20060601 20060630     9.0
20060701 20060731    18.4
20060801 20060831    18.4
20060901 20060930    54.5
20061001 20061031    11.6
20061101 20061130    24.4
20061201 20061231    16.8
20070101 20070131    32.9
20070201 20070228     7.2
