PRCP       010123 19100101 20171231 missing_value=99999.9 THE GRANITES                              
20000601 20000630    21.8
20000701 20000731    40.0
20000801 20000831    38.0
20000901 20000930    13.7
20001001 20001031     0.0
20001101 20001130     2.6
20001201 20001231     0.0
20010101 20010131    51.8
20010201 20010228    14.6
20010301 20010331     0.0
20010401 20010430    15.0
20010501 20010531    28.8
20010601 20010630     8.0
20010701 20010731    65.0
20010801 20010831    50.2
20010901 20010930    26.4
20011001 20011031    12.2
20011101 20011130    19.9
20011201 20011231     4.2
20020101 20020131    18.0
20020201 20020228     0.0
20020301 20020331     1.0
20020401 20020430    14.0
20020501 20020531     9.4
20020601 20020630    36.0
20020701 20020731    28.0
20020801 20020831    29.8
20020901 20020930     9.2
20021001 20021031    10.8
20021101 20021130    19.2
20021201 20021231     9.4
20030101 20030131     0.0
20030201 20030228    31.2
20030301 20030331    53.4
20030401 20030430    29.8
20030501 20030531    67.4
20030601 20030630    48.8
20030701 20030731    33.6
20030801 20030831    68.6
20030901 20030930    22.2
20031001 20031031     5.4
20031101 20031130     3.8
20031201 20031231    19.2
20040101 20040131     3.0
20040201 20040229     6.4
20040301 20040331     0.6
20040401 20040430    17.2
20040501 20040531    28.6
20040601 20040630    48.4
20040701 20040731    30.4
20040801 20040831    43.0
20040901 20040930    14.8
20041001 20041031    11.6
20041101 20041130     9.0
20041201 20041231    15.6
20050101 20050131     0.0
20050201 20050228     2.4
20050301 20050331    22.2
20050401 20050430    14.0
20050501 20050531    74.6
