PRCP       002019 19131201 20170831 missing_value=99999.9 MARGARET RIVER                            
20040801 20040831     0.0
20040901 20040930     0.0
20041001 20041031     0.0
20041101 20041130    12.4
20041201 20041231    18.0
20050101 20050131    98.0
20050201 20050228    90.8
20050301 20050331   114.5
20050401 20050430     1.0
20050501 20050531     0.0
20050601 20050630    23.0
20050701 20050731     0.0
20050801 20050831     0.0
20050901 20050930     0.0
20051001 20051031     0.0
20051101 20051130    42.4
20051201 20051231   128.3
20060101 20060131   199.8
20060201 20060228    52.2
20060301 20060331   107.4
20060401 20060430     9.5
20060501 20060531     0.0
20060601 20060630     0.0
20060701 20060731     0.4
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031    40.0
20061101 20061130    15.0
20061201 20061231   131.0
20070101 20070131   170.5
20070201 20070228     0.0
20070301 20070331   154.7
20070401 20070430     0.0
20070501 20070531    15.6
20070601 20070630    20.4
20070701 20070731     0.0
20070801 20070831     0.0
20070901 20070930     0.0
20071001 20071031     0.0
20071101 20071130    16.2
20071201 20071231    49.2
20080101 20080131   165.4
20080201 20080229   232.6
20080301 20080331    36.0
20080401 20080430     1.2
20080501 20080531     0.0
20080601 20080630    12.6
20080701 20080731     0.0
20080801 20080831     0.0
20080901 20080930     1.0
20081001 20081031     0.0
20081101 20081130    74.2
20081201 20081231   133.8
20090101 20090131   261.8
20090201 20090228   147.0
20090301 20090331    16.8
