PRCP       083032 18890201 20170630 missing_value=99999.9 WHITLANDS (BURDER'S LANE)                 
19530801 19530831   181.0
19530901 19530930   252.3
19531001 19531031   221.2
19531101 19531130    72.4
19531201 19531231     0.0
19540101 19540131   113.2
19540201 19540228    17.0
19540301 19540331    12.2
19540401 19540430   139.2
19540501 19540531    53.9
19540601 19540630   153.4
19540701 19540731    71.0
19540801 19540831   175.1
19540901 19540930    62.0
19541001 19541031    92.1
19541101 19541130   172.6
19541201 19541231   161.9
19550101 19550131    52.4
19550201 19550228   152.8
19550301 19550331   195.1
19550401 19550430    21.1
19550501 19550531    78.5
19550601 19550630   243.6
19550701 19550731   222.5
19550801 19550831   347.5
19550901 19550930   182.0
19551001 19551031   213.3
19551101 19551130    78.6
19551201 19551231    63.4
19560101 19560131   138.5
19560201 19560229    17.8
19560301 19560331   241.3
19560401 19560430   319.2
19560501 19560531   247.0
19560601 19560630   268.9
19560701 19560731   296.8
19560801 19560831   216.9
19560901 19560930   147.6
19561001 19561031   169.1
19561101 19561130    85.2
19561201 19561231    49.4
19570101 19570131     2.0
19570201 19570228    61.0
19570301 19570331    69.8
19570401 19570430    91.0
19570501 19570531    43.1
19570601 19570630   285.3
19570701 19570731    65.0
19570801 19570831    55.9
19570901 19570930    84.1
19571001 19571031   117.5
19571101 19571130    52.9
19571201 19571231   120.0
19580101 19580131     5.6
19580201 19580228    58.4
19580301 19580331    52.5
19580401 19580430    19.9
19580501 19580531   327.1
19580601 19580630    30.8
19580701 19580731   282.8
19580801 19580831   341.5
19580901 19580930   135.7
19581001 19581031   222.2
19581101 19581130    87.6
19581201 19581231    16.3
19590101 19590131    28.0
19590201 19590228   107.5
19590301 19590331   157.6
19590401 19590430   100.8
19590501 19590531    53.9
19590601 19590630    96.5
19590701 19590731    58.0
19590801 19590831   137.3
19590901 19590930   132.2
19591001 19591031    97.8
19591101 19591130    78.7
19591201 19591231    60.8
19600101 19600131   104.2
19600201 19600229    30.9
19600301 19600331    23.2
19600401 19600430   137.8
19600501 19600531   403.4
19600601 19600630    87.4
19600701 19600731   226.2
19600801 19600831   147.4
19600901 19600930   198.3
19601001 19601031    81.5
19601101 19601130   105.7
19601201 19601231    39.4
19610101 19610131    10.0
19610201 19610228    10.1
19610301 19610331    56.7
19610401 19610430   152.1
19610501 19610531    26.0
19610601 19610630   153.5
19610701 19610731   175.9
19610801 19610831   141.1
19610901 19610930    58.2
19611001 19611031    79.4
19611101 19611130    75.2
19611201 19611231    66.8
19620101 19620131   128.4
19620201 19620228     6.8
19620301 19620331    70.8
19620401 19620430    61.4
19620501 19620531   314.9
19620601 19620630   208.3
19620701 19620731   103.9
19620801 19620831   159.2
19620901 19620930   117.5
19621001 19621031   116.2
19621101 19621130    19.8
19621201 19621231    66.3
19630101 19630131   191.1
19630201 19630228    20.4
19630301 19630331    14.5
19630401 19630430     4.1
19630501 19630531    54.1
19630601 19630630    52.1
19630701 19630731    43.9
19630801 19630831    47.5
19630901 19630930    42.9
19631001 19631031    27.2
19631101 19631130    17.0
19631201 19631231     9.4
19640101 19640131     2.3
19640201 19640229    15.2
19640301 19640331     5.8
19640401 19640430    24.1
19640501 19640531    75.9
19640601 19640630   296.0
19640701 19640731   314.3
19640801 19640831    99.5
19640901 19640930   215.1
19641001 19641031   220.7
19641101 19641130    42.9
19641201 19641231    49.3
19650101 19650131     9.1
19650201 19650228     3.6
19650301 19650331    23.9
19650401 19650430    65.5
19650501 19650531   118.4
19650601 19650630    26.5
19650701 19650731   190.2
19650801 19650831   220.9
19650901 19650930   184.9
19651001 19651031    84.9
19651101 19651130   115.3
19651201 19651231    92.9
19660101 19660131    42.3
19660201 19660228    98.4
19660301 19660331   130.5
19660401 19660430    40.7
19660501 19660531   136.5
19660601 19660630    79.3
19660701 19660731   182.7
19660801 19660831   202.0
19660901 19660930   246.1
19661001 19661031   123.9
19661101 19661130   133.7
19661201 19661231   292.8
19670101 19670131    33.7
19670201 19670228    22.4
19670301 19670331    30.0
19670401 19670430    18.3
19670501 19670531    45.8
19670601 19670630    60.3
19670701 19670731   118.1
19670801 19670831   200.0
19670901 19670930    45.8
19671001 19671031    75.4
19671101 19671130     8.9
19671201 19671231    31.1
19680101 19680131    81.5
19680201 19680229     0.8
19680301 19680331    43.5
19680401 19680430   254.1
19680501 19680531   398.0
19680601 19680630   173.5
19680701 19680731   171.2
19680801 19680831   208.1
19680901 19680930    65.5
19681001 19681031   175.0
19681101 19681130   105.9
19681201 19681231    82.4
19690101 19690131    29.7
19690201 19690228    84.3
19690301 19690331   217.7
19690401 19690430    59.0
19690501 19690531   107.8
19690601 19690630    39.7
19690701 19690731   220.2
19690801 19690831    75.8
19690901 19690930   151.8
19691001 19691031    52.6
19691101 19691130    66.4
19691201 19691231    79.3
19700101 19700131    71.9
19700201 19700228     5.1
19700301 19700331   102.6
19700401 19700430   258.3
19700501 19700531    79.5
19700601 19700630   122.5
19700701 19700731   105.7
19700801 19700831   258.6
19700901 19700930   134.3
19701001 19701031    31.1
19701101 19701130   112.9
19701201 19701231    52.1
19710101 19710131    61.9
19710201 19710228    75.7
19710301 19710331    43.8
19710401 19710430   182.0
19710501 19710531   209.6
19710601 19710630   112.9
19710701 19710731   122.8
19710801 19710831   162.3
19710901 19710930   126.0
19711001 19711031   116.0
19711101 19711130   149.4
19711201 19711231    46.1
19720101 19720131    63.1
19720201 19720229    83.2
19720301 19720331    20.3
19720401 19720430    80.4
19720501 19720531    61.7
19720601 19720630    86.1
19720701 19720731   152.0
19720801 19720831   147.5
19720901 19720930    29.2
19721001 19721031    31.0
19721101 19721130    67.2
19721201 19721231     5.6
19730101 19730131   124.8
19730201 19730228   313.6
19730301 19730331    94.9
19730401 19730430   211.7
19730501 19730531   162.8
19730601 19730630   221.8
19730701 19730731   150.3
19730801 19730831   238.7
19730901 19730930   216.6
19731001 19731031   289.1
19731101 19731130    64.8
19731201 19731231   115.0
19740101 19740131   234.0
19740201 19740228    43.2
19740301 19740331    34.8
19740401 19740430   294.3
19740501 19740531   319.0
19740601 19740630    76.4
19740701 19740731   348.0
19740801 19740831   202.9
19740901 19740930   199.2
19741001 19741031   219.4
19741101 19741130   156.8
19741201 19741231    32.4
19750101 19750131    73.6
19750201 19750228    44.0
19750301 19750331    89.6
19750401 19750430    36.6
19750501 19750531   188.4
19750601 19750630    42.8
19750701 19750731   202.0
19750801 19750831   237.4
19750901 19750930   307.4
19751001 19751031   368.8
19751101 19751130    56.4
19751201 19751231   259.8
19760101 19760131    26.8
19760201 19760229    39.6
19760301 19760331    28.0
19760401 19760430    13.6
19760501 19760531    45.4
19760601 19760630    99.4
19760701 19760731    76.4
19760801 19760831   145.6
19760901 19760930   120.0
19761001 19761031   175.2
19761101 19761130   110.0
19761201 19761231    73.0
19770101 19770131    45.8
19770201 19770228    70.4
19770301 19770331    76.4
19770401 19770430    18.8
19770501 19770531   151.2
19770601 19770630   193.8
19770701 19770731   104.0
19770801 19770831    60.0
19770901 19770930    45.4
19771001 19771031    31.6
19771101 19771130    42.6
19771201 19771231    18.0
19780101 19780131   142.8
19780201 19780228    14.0
19780301 19780331   111.4
19780401 19780430    63.4
19780501 19780531   193.0
19780601 19780630   157.8
19780701 19780731   184.6
19780801 19780831   210.0
19780901 19780930   214.8
19781001 19781031    90.4
19781101 19781130   164.8
19781201 19781231   123.4
19790101 19790131    31.6
19790201 19790228     5.2
19790301 19790331    56.0
19790401 19790430   112.0
19790501 19790531   130.2
19790601 19790630    84.2
19790701 19790731    80.8
19790801 19790831   196.2
19790901 19790930   337.8
19791001 19791031   169.8
19791101 19791130   113.0
19791201 19791231     9.6
19800101 19800131    44.2
19800201 19800229     7.8
19800301 19800331    38.8
19800401 19800430   147.6
19800501 19800531   110.2
19800601 19800630   169.6
19800701 19800731   203.2
19800801 19800831   148.6
19800901 19800930   115.0
19801001 19801031   125.0
19801101 19801130    60.8
19801201 19801231   135.8
19810101 19810131   118.0
19810201 19810228    83.2
19810301 19810331    73.8
19810401 19810430     2.2
19810501 19810531   115.8
19810601 19810630   457.0
19810701 19810731   518.0
19810801 19810831   302.8
19810901 19810930    73.6
19811001 19811031    97.0
19811101 19811130    85.2
19811201 19811231    63.0
19820101 19820131   105.2
19820201 19820228     2.4
19820301 19820331    87.6
19820401 19820430    44.0
19820501 19820531   109.2
19820601 19820630    64.2
19820701 19820731    26.0
19820801 19820831    26.7
19820901 19820930    84.0
19821001 19821031    19.2
19821101 19821130    13.4
19821201 19821231    33.0
19830101 19830131     2.2
19830201 19830228     9.2
19830301 19830331   208.6
19830401 19830430   169.0
19830501 19830531   219.8
19830601 19830630   109.4
19830701 19830731   253.4
19830801 19830831   196.6
19830901 19830930   230.2
19831001 19831031    51.2
19831101 19831130   160.0
19831201 19831231    60.4
