PRCP       022801 18731101 20070731 missing_value=99999.9 CAPE BORDA                                
19610901 19610930    33.4
19611001 19611031    31.6
19611101 19611130    10.1
19611201 19611231     4.4
19620101 19620131     5.6
19620201 19620228    17.0
19620301 19620331    32.8
19620401 19620430    16.0
19620501 19620531    76.0
19620601 19620630    60.3
19620701 19620731    56.5
19620801 19620831    62.7
19620901 19620930    21.2
19621001 19621031    77.4
19621101 19621130    34.9
19621201 19621231    20.5
19630101 19630131    28.4
19630201 19630228     7.4
19630301 19630331     3.1
19630401 19630430    14.5
19630501 19630531    85.0
19630601 19630630   168.2
19630701 19630731    96.1
19630801 19630831    79.9
19630901 19630930    40.7
19631001 19631031     2.6
19631101 19631130     8.5
19631201 19631231     6.4
19640101 19640131     8.1
19640201 19640229    22.2
19640301 19640331     9.0
19640401 19640430    40.1
19640501 19640531    55.0
19640601 19640630   145.4
19640701 19640731   145.0
19640801 19640831    43.5
19640901 19640930    34.5
19641001 19641031    52.2
19641101 19641130    55.2
19641201 19641231    22.8
19650101 19650131     3.1
19650201 19650228     2.1
19650301 19650331     9.2
19650401 19650430    27.8
19650501 19650531   109.4
19650601 19650630    41.6
19650701 19650731   107.9
19650801 19650831    71.1
19650901 19650930    30.6
19651001 19651031     9.5
19651101 19651130    42.6
19651201 19651231     9.9
19660101 19660131     4.7
19660201 19660228     3.9
19660301 19660331    21.0
19660401 19660430    12.6
19660501 19660531    62.6
19660601 19660630    96.0
19660701 19660731   146.1
19660801 19660831    79.1
19660901 19660930   120.6
19661001 19661031    44.6
19661101 19661130    14.5
19661201 19661231    68.5
19670101 19670131     6.4
19670201 19670228    77.0
19670301 19670331    10.2
19670401 19670430    10.2
19670501 19670531    14.9
19670601 19670630    18.9
19670701 19670731   146.5
19670801 19670831    79.7
19670901 19670930    46.5
19671001 19671031     9.6
19671101 19671130     3.9
19671201 19671231    13.1
19680101 19680131     7.4
19680201 19680229    20.6
19680301 19680331    76.2
19680401 19680430    95.2
19680501 19680531    80.1
19680601 19680630    49.0
19680701 19680731   110.3
19680801 19680831   131.2
19680901 19680930    37.1
19681001 19681031    56.1
19681101 19681130    39.3
19681201 19681231    20.0
19690101 19690131    17.9
19690201 19690228    50.8
19690301 19690331    50.5
