PRCP       044026 18790101 20180131 missing_value=99999.9 CUNNAMULLA POST OFFICE                    
19610601 19610630     1.6
19610701 19610731    16.8
19610801 19610831     3.3
19610901 19610930     0.0
19611001 19611031    28.6
19611101 19611130    24.1
19611201 19611231    25.6
19620101 19620131   133.1
19620201 19620228    28.0
19620301 19620331    60.1
19620401 19620430    14.4
19620501 19620531     2.5
19620601 19620630    48.8
19620701 19620731    19.3
19620801 19620831    21.6
19620901 19620930    20.8
19621001 19621031     2.8
19621101 19621130     5.8
19621201 19621231    63.0
19630101 19630131    95.7
19630201 19630228    19.8
19630301 19630331   103.4
19630401 19630430     2.8
19630501 19630531    31.0
19630601 19630630    13.7
19630701 19630731     0.0
19630801 19630831    17.9
19630901 19630930     8.1
19631001 19631031    38.7
19631101 19631130    39.2
19631201 19631231    16.6
19640101 19640131   142.3
19640201 19640229    31.0
19640301 19640331     6.9
19640401 19640430     6.1
19640501 19640531    41.6
19640601 19640630     0.3
19640701 19640731    14.2
19640801 19640831    20.3
19640901 19640930    58.1
19641001 19641031    16.0
19641101 19641130    47.9
19641201 19641231    18.7
19650101 19650131     8.4
19650201 19650228     0.0
19650301 19650331     0.8
19650401 19650430     4.1
19650501 19650531     0.0
19650601 19650630     5.3
19650701 19650731     3.1
19650801 19650831    27.7
19650901 19650930     5.3
19651001 19651031     8.8
19651101 19651130     2.5
19651201 19651231    72.5
19660101 19660131    68.1
19660201 19660228    22.9
19660301 19660331    25.4
19660401 19660430     0.0
19660501 19660531    13.2
19660601 19660630     8.6
19660701 19660731    22.6
19660801 19660831    87.3
19660901 19660930     4.3
19661001 19661031    31.3
19661101 19661130    29.5
19661201 19661231    10.4
19670101 19670131    11.0
19670201 19670228     0.5
19670301 19670331   125.9
19670401 19670430     0.0
19670501 19670531    61.2
19670601 19670630    71.6
19670701 19670731     0.0
19670801 19670831    23.6
19670901 19670930     0.0
19671001 19671031     3.1
19671101 19671130     0.0
19671201 19671231    34.8
19680101 19680131    85.8
19680201 19680229    14.5
19680301 19680331    16.0
19680401 19680430    41.4
19680501 19680531   102.7
19680601 19680630     4.8
19680701 19680731    13.3
19680801 19680831    15.1
19680901 19680930     2.9
19681001 19681031     4.3
19681101 19681130     5.9
19681201 19681231    18.3
19690101 19690131    13.5
19690201 19690228    20.3
19690301 19690331   169.9
19690401 19690430     0.0
19690501 19690531    18.6
19690601 19690630     9.7
19690701 19690731     8.8
19690801 19690831    18.5
19690901 19690930    36.4
19691001 19691031    20.3
19691101 19691130    25.4
19691201 19691231     5.1
19700101 19700131    46.0
19700201 19700228     9.2
19700301 19700331   108.7
19700401 19700430    58.4
19700501 19700531    20.3
19700601 19700630     5.6
19700701 19700731     0.0
19700801 19700831     0.5
19700901 19700930    64.7
19701001 19701031    23.9
19701101 19701130    35.7
19701201 19701231    54.2
19710101 19710131    75.5
19710201 19710228    33.6
19710301 19710331   102.8
19710401 19710430    10.2
19710501 19710531     1.3
19710601 19710630     0.5
19710701 19710731    53.1
19710801 19710831    27.9
19710901 19710930    38.6
19711001 19711031     6.2
19711101 19711130     7.7
19711201 19711231     9.8
19720101 19720131   108.2
19720201 19720229     0.0
19720301 19720331    11.4
19720401 19720430     3.6
19720501 19720531     9.9
19720601 19720630     5.6
19720701 19720731     0.0
19720801 19720831    16.1
19720901 19720930     1.3
19721001 19721031    15.6
19721101 19721130    24.4
19721201 19721231    17.7
19730101 19730131    31.3
19730201 19730228    83.6
19730301 19730331    20.6
19730401 19730430    32.3
19730501 19730531     7.9
19730601 19730630     6.6
19730701 19730731    42.6
19730801 19730831    33.9
19730901 19730930    17.4
19731001 19731031    97.4
19731101 19731130    57.5
19731201 19731231   102.6
